Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Pantown Throwdown  Ultimate and Melee singles	15 January 2023	Shrumble	24	45	http://start.gg/tournament/the-pantown-throwdown-ultimate-and-melee-singles/event/ultimate-singles	https://braacket.com/tournament/AC5F83EA-040D-4F2C-9201-A2A8C2EB72B8
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Zeldris	metalforfish	2	0	3	2
4	Bayless	Slayer	2	0	3	2
6	PickNick	Psyoh	2	0	3	2
8	Nizmo	Bkay	2	0	3	2
10	Calvin	blackwolf	2	0	3	2
12	SULRoY	Bread (Saint Cloud)	2	0	3	2
14	Crescent16	McNutty	2	0	3	2
16	XX17	grant	2	0	3	2
17	Shrumble	Zeldris	2	0	3	2
18	Bayless	JetRed	2	0	3	2
19	Bunny5001	PickNick	2	0	3	2
20	Spankr	Nizmo	2	0	3	2
21	Boolahan	Calvin	2	0	3	2
22	DaneReich	SULRoY	2	1	3	3
23	Crescent16	Eagle	2	1	3	3
24	XX17	Typho	2	0	3	2
25	Shrumble	Bayless	2	0	3	2
26	Bunny5001	Spankr	2	1	3	3
27	DaneReich	Boolahan	2	1	3	3
28	Crescent16	XX17	2	1	3	3
29	Shrumble	Bunny5001	3	1	5	4
30	DaneReich	Crescent16	3	2	5	5
31	Shrumble	DaneReich	3	1	5	4
32	Shrumble	DaneReich	3	1	5	4
49	Typho	metalforfish	2	0	3	2
50	Eagle	Slayer	2	0	3	2
51	SULRoY	Psyoh	2	0	3	2
52	Calvin	Bkay	2	0	3	2
53	Nizmo	blackwolf	2	0	3	2
54	PickNick	Bread (Saint Cloud)	2	0	3	2
55	McNutty	JetRed	2	1	3	3
57	Eagle	Typho	2	1	3	3
58	SULRoY	Calvin	2	0	3	2
59	Nizmo	PickNick	2	0	3	2
60	McNutty	Zeldris	2	1	3	3
61	Eagle	Spankr	2	0	3	2
62	SULRoY	Bayless	2	0	3	2
63	Nizmo	XX17	2	1	3	3
64	Boolahan	McNutty	2	1	3	3
65	SULRoY	Eagle	3	2	5	5
66	Boolahan	Nizmo	3	0	5	3
67	Crescent16	SULRoY	3	0	5	3
68	Bunny5001	Boolahan	3	2	5	5
69	Bunny5001	Crescent16	3	0	5	3
70	DaneReich	Bunny5001	3	2	5	5
