Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Pantown Throwdown 2  Ultimate and Melee singles	05 March 2023	Shrumble	20	38	http://start.gg/tournament/the-pantown-throwdown-2-ultimate-and-melee-singles/event/ultimate-singles	https://braacket.com/tournament/90DF8B5E-5136-4693-A17F-F3E1BB79995C
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Bread (Saint Cloud)	WickyDubs	2	0	3	2
6	cage	ShadowHunter77	2	1	3	3
10	monkeymandave	Scarrien	2	0	3	2
14	Astral	crowboar	2	0	3	2
17	Shrumble	Bread (Saint Cloud)	2	0	3	2
18	Zulo	Bkay	2	1	3	3
19	Typho	cage	2	0	3	2
20	Vision	Jobin	2	0	3	2
21	Shaeffen	monkeymandave	2	1	3	3
22	metalforfish	McNutty	2	0	3	2
23	Bunny5001	Astral	2	0	3	2
24	LiquidCake	Spagon	2	1	3	3
25	Shrumble	Zulo	2	0	3	2
26	Vision	Typho	2	0	3	2
27	Shaeffen	metalforfish	2	0	3	2
28	Bunny5001	LiquidCake	2	0	3	2
29	Shrumble	Vision	3	1	5	4
30	Shaeffen	Bunny5001	3	1	5	4
31	Shaeffen	Shrumble	3	2	5	5
32	Shrumble	Shaeffen	3	1	5	4
33	Shrumble	Shaeffen	3	0	5	3
42	Spagon	WickyDubs	2	0	3	2
46	Jobin	Scarrien	2	0	3	2
48	Bkay	crowboar	2	0	3	2
50	Spagon	Astral	2	1	3	3
51	monkeymandave	ShadowHunter77	2	0	3	2
52	Jobin	cage	2	0	3	2
53	Bkay	Bread (Saint Cloud)	2	0	3	2
54	Typho	Spagon	2	0	3	2
55	monkeymandave	Zulo	2	0	3	2
56	Jobin	LiquidCake	2	0	3	2
57	Bkay	metalforfish	2	1	3	3
58	Typho	monkeymandave	3	1	5	4
59	Jobin	Bkay	3	0	5	3
60	Bunny5001	Typho	3	0	5	3
61	Vision	Jobin	3	0	5	3
62	Bunny5001	Vision	3	0	5	3
63	Shrumble	Bunny5001	3	1	5	4
