Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC #50	06 March 2023	Failbot	12	22	http://start.gg/tournament/umec-50/event/ultimate-singles	https://braacket.com/tournament/E1CF124A-E858-4AC2-A128-DAA64476A90C
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Faucet	Morgan	2	0	3	2
4	Llomomo	TacTac	2	0	3	2
6	BarbNation	Phwii	2	0	3	2
8	Deus	Blaze	2	0	3	2
9	Thor	Faucet	2	0	3	2
10	Franzwa	Llomomo	2	0	3	2
11	Failbot	BarbNation	2	0	3	2
12	Ehis	Deus	2	1	3	3
13	Thor	Franzwa	3	0	5	3
14	Failbot	Ehis	3	2	5	5
15	Failbot	Thor	3	0	5	3
16	Failbot	Thor	3	0	5	3
25	Deus	Morgan	2	0	3	2
26	BarbNation	TacTac	2	0	3	2
27	Llomomo	Phwii	2	0	3	2
28	Faucet	Blaze	2	0	3	2
29	Deus	BarbNation	3	1	5	4
30	Faucet	Llomomo	3	0	5	3
31	Franzwa	Deus	3	0	5	3
32	Ehis	Faucet	3	0	5	3
33	Ehis	Franzwa	3	0	5	3
34	Thor	Ehis	3	0	5	3
