Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #30	14 April 2022	loaf	56	110	http://smash.gg/tournament/advantage-state-30/event/ultimate-singles	https://braacket.com/tournament/069C7911-5E84-4B93-A038-9DF6E6E6C3C4
Set Num	Winner	Loser	WS	LS	Best of	Game
2	BarbNation	DatsDavisss	2	0	3	2
3	SirPro	WalMarth	2	0	3	2
4	sans.	ssjneo	2	0	3	2
6	Jackypoo	Rush	2	0	3	2
7	Dadzie	Octoling	2	0	3	2
8	Limbo	Daddy Dan	2	1	3	3
10	GAY LORD	Nooper	2	1	3	3
11	ADDICT	Natchy	2	0	3	2
12	Blaze	Myewps	2	0	3	2
14	bokobo	14	2	0	3	2
15	Hype2Hard	DM	2	0	3	2
16	Capital G	Storm	2	0	3	2
18	Senam	TacTac	2	0	3	2
19	Phantom	Zaech	2	1	3	3
20	Bubswah	NickD	2	0	3	2
22	Haus	Pony	2	0	3	2
23	DatDerpDog	LaFever	2	0	3	2
24	Flax	Cranky	2	0	3	2
26	Spritemare	//JumpMan//	2	0	3	2
27	Ehis	Airpog!	2	0	3	2
28	Motionz	Thatone meme	2	0	3	2
30	Crime Sunday	E1ghtPack	2	0	3	2
31	Meatflap	ElectricMuffin	2	0	3	2
32	Juggz	Zeboz	2	1	3	3
33	loaf	BarbNation	2	0	3	2
34	SirPro	sans.	2	0	3	2
35	Franzwa	Jackypoo	2	0	3	2
36	Dadzie	Limbo	2	1	3	3
37	Ventura	GAY LORD	2	0	3	2
38	ADDICT	Blaze	2	0	3	2
39	Violet	bokobo	2	0	3	2
40	Capital G	Hype2Hard	2	0	3	2
41	Lucky	Senam	2	0	3	2
42	Phantom	Bubswah	2	0	3	2
43	Maya	Haus	2	0	3	2
44	DatDerpDog	Flax	2	0	3	2
45	Hunter	Spritemare	2	0	3	2
46	Ehis	Motionz	2	0	3	2
47	Aurokon	Crime Sunday	2	0	3	2
48	Meatflap	Juggz	2	0	3	2
49	loaf	SirPro	2	0	3	2
50	Franzwa	Dadzie	2	0	3	2
51	Ventura	ADDICT	2	0	3	2
52	Violet	Capital G	2	1	3	3
53	Lucky	Phantom	2	0	3	2
54	Maya	DatDerpDog	2	0	3	2
55	Ehis	Hunter	2	0	3	2
56	Aurokon	Meatflap	2	0	3	2
57	loaf	Franzwa	2	0	3	2
58	Violet	Ventura	2	1	3	3
59	Lucky	Maya	2	0	3	2
60	Aurokon	Ehis	2	1	3	3
61	loaf	Violet	3	1	5	4
62	Lucky	Aurokon	3	0	5	3
63	loaf	Lucky	3	0	5	3
64	loaf	Lucky	3	0	5	3
90	ssjneo	WalMarth	2	0	3	2
92	Daddy Dan	Octoling	2	0	3	2
94	Natchy	Myewps	2	0	3	2
96	DM	Storm	2	0	3	2
98	Zaech	NickD	2	0	3	2
100	Cranky	LaFever	2	0	3	2
102	Thatone meme	Airpog!	2	0	3	2
104	Zeboz	ElectricMuffin	2	0	3	2
105	DatsDavisss	Juggz	2	0	3	2
106	Crime Sunday	ssjneo	2	1	3	3
107	Motionz	Rush	2	0	3	2
108	Spritemare	Daddy Dan	2	0	3	2
109	Flax	Nooper	2	0	3	2
110	Haus	Natchy	2	1	3	3
111	Bubswah	14	2	0	3	2
112	Senam	DM	2	1	3	3
113	Hype2Hard	TacTac	2	0	3	2
114	Zaech	bokobo	2	1	3	3
115	Blaze	Pony	2	0	3	2
116	Cranky	GAY LORD	2	0	3	2
117	Limbo	//JumpMan//	2	0	3	2
118	Jackypoo	Thatone meme	2	0	3	2
119	sans.	E1ghtPack	2	0	3	2
120	Zeboz	BarbNation	2	1	3	3
121	Crime Sunday	DatsDavisss	2	0	3	2
122	Motionz	Spritemare	2	0	3	2
123	Flax	Haus	2	0	3	2
124	Bubswah	Senam	2	1	3	3
125	Hype2Hard	Zaech	2	0	3	2
126	Cranky	Blaze	2	0	3	2
127	Limbo	Jackypoo	2	0	3	2
128	sans.	Zeboz	2	0	3	2
129	Capital G	Crime Sunday	2	0	3	2
130	Motionz	ADDICT	2	1	3	3
131	Dadzie	Flax	2	0	3	2
132	Bubswah	SirPro	2	1	3	3
133	Meatflap	Hype2Hard	2	0	3	2
134	Hunter	Cranky	2	1	3	3
135	DatDerpDog	Limbo	2	1	3	3
136	sans.	Phantom	2	0	3	2
137	Capital G	Motionz	2	0	3	2
138	Dadzie	Bubswah	2	1	3	3
139	Hunter	Meatflap	2	0	3	2
140	sans.	DatDerpDog	2	1	3	3
141	Capital G	Maya	2	0	3	2
142	Dadzie	Ehis	2	1	3	3
143	Hunter	Franzwa	2	1	3	3
144	Ventura	sans.	2	0	3	2
145	Dadzie	Capital G	3	0	5	3
146	Hunter	Ventura	3	2	5	5
147	Dadzie	Violet	3	2	5	5
148	Aurokon	Hunter	3	2	5	5
149	Aurokon	Dadzie	3	0	5	3
150	Lucky	Aurokon	3	2	5	5
