Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
First Annual 100% Whole Grain WEET THINS Duluth Summer Smackdown $500 POT BONUS	24 July 2022	GodIMissHer	24	46	http://start.gg/tournament/first-annual-100-whole-grain-weet-thins-duluth-summer-smackdown/event/ultimate-singles	https://braacket.com/tournament/FAF7AEB6-A0C1-46DA-96B4-DB9155F11F64
Set Num	Winner	Loser	WS	LS	Best of	Game
2	mugfase	DmMeUrFeet	2	1	3	3
4	Buster	stone	2	0	3	2
6	Fil	Gay Plant	2	0	3	2
8	ori0n	GumpTheDump	2	0	3	2
10	lolstreet	TacTac	2	0	3	2
12	Spritemare	Prongs	2	0	3	2
14	WEET THINS	DireWolf	2	0	3	2
16	Juraf	Fyre	2	0	3	2
17	GodIMissHer	mugfase	2	0	3	2
18	BarbNation	Buster	2	0	3	2
19	Aurokon	Fil	2	0	3	2
20	Dadzie	ori0n	2	0	3	2
21	Lucky	lolstreet	2	0	3	2
22	TheVP	Spritemare	2	1	3	3
23	Maya	WEET THINS	2	0	3	2
24	Yungsavage	Juraf	2	0	3	2
25	GodIMissHer	BarbNation	2	0	3	2
26	Dadzie	Aurokon	2	1	3	3
27	Lucky	TheVP	2	0	3	2
28	Maya	Yungsavage	2	1	3	3
29	GodIMissHer	Dadzie	3	1	5	4
30	Lucky	Maya	3	1	5	4
31	GodIMissHer	Lucky	3	2	5	5
32	GodIMissHer	Lucky	3	0	5	3
49	Juraf	DmMeUrFeet	2	0	3	2
50	stone	WEET THINS	2	1	3	3
51	Spritemare	Gay Plant	2	0	3	2
52	lolstreet	GumpTheDump	2	0	3	2
53	ori0n	TacTac	2	1	3	3
54	Fil	Prongs	2	0	3	2
55	Buster	DireWolf	2	0	3	2
56	mugfase	Fyre	2	1	3	3
57	stone	Juraf	2	0	3	2
58	Spritemare	lolstreet	2	0	3	2
59	Fil	ori0n	2	0	3	2
60	Buster	mugfase	2	0	3	2
61	Aurokon	stone	2	0	3	2
62	Spritemare	BarbNation	2	0	3	2
63	Yungsavage	Fil	2	1	3	3
64	TheVP	Buster	2	0	3	2
65	Aurokon	Spritemare	3	0	5	3
66	TheVP	Yungsavage	3	1	5	4
67	Maya	Aurokon	3	1	5	4
68	Dadzie	TheVP	3	0	5	3
69	Maya	Dadzie	3	1	5	4
70	Lucky	Maya	3	0	5	3
