Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #5 at Black Ice	16 April 2022	Maya	62	122	http://smash.gg/tournament/freeze-frame-5-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/0D0FF11F-86CC-4A30-8DA6-B835D1DCAE10
Set Num	Winner	Loser	WS	LS	Best of	Game
2	ssjneo	Rush	2	1	3	3
3	Llomomo	Psyoh	2	1	3	3
4	peparony	Hunna	2	0	3	2
5	Disco	inmybasement4ever	2	1	3	3
6	VinnyTea	yonuh	2	0	3	2
7	Aura Wolf	Crime Sunday	2	0	3	2
8	Maynnaise	Blaze	2	0	3	2
9	Aurokon	dervid	2	0	3	2
10	SULRoY	Gwishin	2	1	3	3
11	Meatflap	SeanVGM	2	0	3	2
12	Hype2Hard	Dusky	2	0	3	2
13	Violet	XX17	2	0	3	2
14	TacTac	spitz	2	1	3	3
15	Shaeffen	Chan	2	0	3	2
16	Kden	Gains	2	0	3	2
18	studentX	Levin	2	0	3	2
19	Raven	Shadawn	2	0	3	2
20	Chess	emtea	2	0	3	2
21	Maya	mitskileaks	2	0	3	2
22	BarbNation	Haus	2	1	3	3
23	Ehis	Icy	2	0	3	2
24	Yungsavage	TrigDaddy	2	0	3	2
25	Lucky	BINGUS2	2	0	3	2
26	señorguava	Ryan Rush	2	0	3	2
27	The Ashen Dragoon	Phrog	2	0	3	2
28	Shrumble	TSB Jester	2	0	3	2
29	Dadzie	DarkIceDojo	2	0	3	2
30	NAF	Pony	2	0	3	2
31	Tosty	Kelkador	2	0	3	2
32	Phantom	kurisu	2	0	3	2
33	Thor	ssjneo	2	0	3	2
34	peparony	Llomomo	2	0	3	2
35	Disco	VinnyTea	2	0	3	2
36	Aura Wolf	Maynnaise	2	0	3	2
37	Aurokon	SULRoY	2	1	3	3
38	Meatflap	Hype2Hard	2	0	3	2
39	Violet	TacTac	2	0	3	2
40	Kden	Shaeffen	2	1	3	3
41	Stealth_Pilot	studentX	2	0	3	2
42	Raven	Chess	2	0	3	2
43	Maya	BarbNation	2	1	3	3
44	Ehis	Yungsavage	2	0	3	2
45	Lucky	señorguava	2	0	3	2
46	The Ashen Dragoon	Shrumble	2	0	3	2
47	Dadzie	NAF	2	0	3	2
48	Tosty	Phantom	2	0	3	2
49	Thor	peparony	2	0	3	2
50	Disco	Aura Wolf	2	0	3	2
51	Meatflap	Aurokon	2	1	3	3
52	Violet	Kden	2	0	3	2
53	Stealth_Pilot	Raven	2	0	3	2
54	Maya	Ehis	2	1	3	3
55	Lucky	The Ashen Dragoon	2	0	3	2
56	Tosty	Dadzie	2	0	3	2
57	Disco	Thor	2	0	3	2
58	Meatflap	Violet	2	1	3	3
59	Maya	Stealth_Pilot	2	0	3	2
60	Lucky	Tosty	2	0	3	2
61	Meatflap	Disco	3	0	5	3
62	Maya	Lucky	3	0	5	3
63	Maya	Meatflap	3	2	5	5
64	Maya	Lucky	3	1	5	4
96	Hunna	Psyoh	2	1	3	3
97	yonuh	inmybasement4ever	2	0	3	2
98	Blaze	Crime Sunday	2	1	3	3
99	Gwishin	dervid	2	0	3	2
100	SeanVGM	Dusky	2	0	3	2
101	spitz	XX17	2	0	3	2
102	Chan	Gains	2	0	3	2
104	emtea	Shadawn	2	0	3	2
105	Haus	mitskileaks	2	0	3	2
106	TrigDaddy	Icy	2	0	3	2
107	Ryan Rush	BINGUS2	2	0	3	2
108	Phrog	TSB Jester	2	0	3	2
109	DarkIceDojo	Pony	2	0	3	2
110	Kelkador	kurisu	2	1	3	3
111	Phantom	Rush	2	1	3	3
112	NAF	Hunna	2	1	3	3
113	Shrumble	yonuh	2	1	3	3
114	Blaze	señorguava	2	1	3	3
115	Yungsavage	Gwishin	2	0	3	2
116	BarbNation	SeanVGM	2	0	3	2
117	Chess	spitz	2	0	3	2
118	Chan	studentX	2	0	3	2
119	Shaeffen	Levin	2	0	3	2
120	TacTac	emtea	2	0	3	2
121	Hype2Hard	Haus	2	0	3	2
122	SULRoY	TrigDaddy	2	1	3	3
123	Maynnaise	Ryan Rush	2	0	3	2
124	VinnyTea	Phrog	2	0	3	2
125	Llomomo	DarkIceDojo	2	0	3	2
126	Kelkador	ssjneo	2	1	3	3
127	NAF	Phantom	2	0	3	2
128	Shrumble	Blaze	2	0	3	2
129	Yungsavage	BarbNation	2	0	3	2
130	Chess	Chan	2	0	3	2
131	Shaeffen	TacTac	2	1	3	3
132	Hype2Hard	SULRoY	2	1	3	3
133	VinnyTea	Maynnaise	2	0	3	2
134	Llomomo	Kelkador	2	0	3	2
135	Kden	NAF	2	0	3	2
136	Aurokon	Shrumble	2	0	3	2
137	Aura Wolf	Yungsavage	2	1	3	3
138	Chess	peparony	2	1	3	3
139	Dadzie	Shaeffen	2	0	3	2
140	The Ashen Dragoon	Hype2Hard	2	1	3	3
141	VinnyTea	Ehis	2	1	3	3
142	Raven	Llomomo	2	0	3	2
143	Aurokon	Kden	2	0	3	2
144	Aura Wolf	Chess	2	0	3	2
145	The Ashen Dragoon	Dadzie	2	0	3	2
146	VinnyTea	Raven	2	0	3	2
147	Stealth_Pilot	Aurokon	2	0	3	2
148	Aura Wolf	Tosty	2	1	3	3
149	Thor	The Ashen Dragoon	2	0	3	2
151	Stealth_Pilot	Aura Wolf	3	1	5	4
152	Thor	VinnyTea	3	1	5	4
154	Lucky	Thor	3	0	5	3
155	Lucky	Stealth_Pilot	3	0	5	3
156	Lucky	Meatflap	3	1	5	4
