Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #6 Battle of the Schools BRACKET	15 May 2022	Failbot	64	124	http://smash.gg/tournament/freeze-frame-6-battle-of-the-schools-bracket/event/ultimate-singles	https://braacket.com/tournament/2A2B2230-F272-4479-9422-34299CC3E9AA
Set Num	Winner	Loser	WS	LS	Best of	Game
1	Lucky	Zulo	2	0	3	2
2	yonuh	Zeboz	2	0	3	2
3	Llomomo	DiscoBoat	2	0	3	2
4	Hype2Hard	Gay Plant	2	0	3	2
5	Dadzie	JinWoo	2	0	3	2
6	Shaeffen	XX17	2	0	3	2
7	Disco	PHD Juice	2	0	3	2
8	Camus	Crescent16	2	0	3	2
9	Maya	Zigglet	2	0	3	2
10	REAVER	JKL623	2	1	3	3
11	Ehis	Rusty	2	0	3	2
12	Cranky	grant	2	1	3	3
13	Violet	Greg	2	0	3	2
14	Shrumble	RoboPanda	2	1	3	3
15	Franzwa	BIG PHARMA	2	0	3	2
16	SULRoY	Reverbo	2	1	3	3
17	Stealth_Pilot	emtea	2	0	3	2
18	TacTac	spitz	2	1	3	3
19	Sean Sorey	Maynnaise	2	0	3	2
20	Faucet	El Pedro	2	0	3	2
21	Drip	OzMockman	2	0	3	2
22	Natchy	Blaze	2	0	3	2
23	DatDerpDog	Anas	2	0	3	2
24	bokobo	WEET THINS	2	0	3	2
25	Failbot	Juggz	2	0	3	2
26	Winro	Rush	2	1	3	3
27	Kden	ShuffleDuck	2	0	3	2
28	Uckle!	Jaycooh	2	0	3	2
29	PinkShirtGuy	Dekiller	2	0	3	2
30	Daxe	BarbNation	2	0	3	2
31	Kareem	BTBrawler	2	0	3	2
32	ori0n	Bunny5001	2	1	3	3
33	Lucky	yonuh	2	0	3	2
34	Llomomo	Hype2Hard	2	1	3	3
35	Dadzie	Shaeffen	2	0	3	2
36	Disco	Camus	2	0	3	2
37	Maya	REAVER	2	0	3	2
38	Ehis	Cranky	2	0	3	2
39	Violet	Shrumble	2	0	3	2
40	Franzwa	SULRoY	2	1	3	3
41	Stealth_Pilot	TacTac	2	0	3	2
42	Faucet	Sean Sorey	2	1	3	3
43	Drip	Natchy	2	0	3	2
44	DatDerpDog	bokobo	2	0	3	2
46	Kden	Uckle!	2	0	3	2
47	PinkShirtGuy	Daxe	2	0	3	2
48	Kareem	ori0n	2	0	3	2
49	Lucky	Llomomo	2	0	3	2
50	Dadzie	Disco	2	0	3	2
51	Ehis	Maya	2	0	3	2
52	Violet	Franzwa	2	0	3	2
53	Stealth_Pilot	Faucet	2	0	3	2
54	Drip	DatDerpDog	2	0	3	2
55	Failbot	Kden	2	0	3	2
56	PinkShirtGuy	Kareem	2	0	3	2
57	Lucky	Dadzie	2	0	3	2
58	Violet	Ehis	2	0	3	2
59	Stealth_Pilot	Drip	2	1	3	3
60	Failbot	PinkShirtGuy	2	0	3	2
61	Lucky	Violet	3	1	5	4
62	Failbot	Stealth_Pilot	3	0	5	3
63	Failbot	Lucky	3	1	5	4
64	Failbot	Lucky	3	1	5	4
97	Zeboz	Zulo	2	1	3	3
98	DiscoBoat	Gay Plant	2	1	3	3
99	XX17	JinWoo	2	0	3	2
100	Crescent16	PHD Juice	2	0	3	2
101	Zigglet	JKL623	2	1	3	3
102	Rusty	grant	2	0	3	2
103	RoboPanda	Greg	2	0	3	2
104	Reverbo	BIG PHARMA	2	0	3	2
105	spitz	emtea	2	0	3	2
106	Maynnaise	El Pedro	2	0	3	2
108	WEET THINS	Anas	2	1	3	3
109	Rush	Juggz	2	1	3	3
110	Jaycooh	ShuffleDuck	2	0	3	2
111	BarbNation	Dekiller	2	0	3	2
112	Bunny5001	BTBrawler	2	1	3	3
113	Zeboz	ori0n	2	1	3	3
114	Daxe	DiscoBoat	2	0	3	2
115	Uckle!	XX17	2	0	3	2
117	bokobo	Zigglet	2	1	3	3
118	Natchy	Rusty	2	0	3	2
119	Sean Sorey	RoboPanda	2	1	3	3
120	Reverbo	TacTac	2	1	3	3
121	SULRoY	spitz	2	1	3	3
122	Shrumble	Maynnaise	2	0	3	2
123	Cranky	OzMockman	2	0	3	2
124	REAVER	WEET THINS	2	0	3	2
125	Camus	Rush	2	0	3	2
126	Shaeffen	Jaycooh	2	0	3	2
127	Hype2Hard	BarbNation	2	0	3	2
128	Bunny5001	yonuh	2	1	3	3
129	Daxe	Zeboz	2	0	3	2
130	Uckle!	Crescent16	2	0	3	2
131	Natchy	bokobo	2	0	3	2
132	Sean Sorey	Reverbo	2	1	3	3
133	Shrumble	SULRoY	2	0	3	2
134	Cranky	REAVER	2	1	3	3
135	Shaeffen	Camus	2	1	3	3
136	Hype2Hard	Bunny5001	2	0	3	2
137	Franzwa	Daxe	2	0	3	2
138	Maya	Uckle!	2	1	3	3
139	Disco	Natchy	2	1	3	3
140	Llomomo	Sean Sorey	2	0	3	2
