Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #7 at Black Ice eSports	05 June 2022	GodIMissHer	59	110	http://start.gg/tournament/freeze-frame-7-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/B53263AF-BA64-4677-9935-1E3DD205762E
Set Num	Winner	Loser	WS	LS	Best of	Game
2	spitz	Mailiam	2	0	3	2
3	Llomomo	Mac_McBride	2	1	3	3
4	ADDICT	mitskileaks	2	0	3	2
5	Skorpio	Gigs	2	0	3	2
6	Jackypoo	Mime	2	0	3	2
7	DatDerpDog	math	2	0	3	2
8	Daxe	Shrub	2	0	3	2
10	Daddy Dan	BarbNation	2	0	3	2
11	Tosty	CmB	2	0	3	2
12	Bubswah	Ian	2	0	3	2
14	Rush	Zeboz	2	0	3	2
15	Meatflap	BHHS	2	0	3	2
16	Shrumble	emtea	2	1	3	3
18	Kareem	NAF	2	0	3	2
19	Ehis	Zfump	2	0	3	2
20	Hype2Hard	Bloopy	2	0	3	2
21	Truth	Phwii	2	0	3	2
22	Blaze	Zenon	2	1	3	3
23	Dadzie	KittyKrisps	2	0	3	2
26	Maynnaise	GAY LORD	2	0	3	2
27	AllDay	Superjack900	2	0	3	2
29	Violet	wee	2	0	3	2
30	GLLY	Morgan	2	1	3	3
31	Disco	GATTI SINCLAIR	2	0	3	2
32	Faucet	a worm	2	1	3	3
33	loaf	spitz	2	0	3	2
34	Llomomo	ADDICT	2	0	3	2
35	Skorpio	Jackypoo	2	1	3	3
36	DatDerpDog	Daxe	2	0	3	2
37	Lucky	Daddy Dan	2	0	3	2
38	Tosty	Bubswah	2	1	3	3
39	Stealth_Pilot	Rush	2	0	3	2
40	Meatflap	Shrumble	2	0	3	2
41	GodIMissHer	Kareem	2	0	3	2
42	Ehis	Hype2Hard	2	0	3	2
43	Truth	Blaze	2	1	3	3
44	Dadzie	Geyser	2	0	3	2
45	Candle	Maynnaise	2	0	3	2
47	Violet	GLLY	2	0	3	2
48	Faucet	Disco	2	0	3	2
49	loaf	Llomomo	2	0	3	2
50	DatDerpDog	Skorpio	2	0	3	2
51	Lucky	Tosty	2	0	3	2
52	Stealth_Pilot	Meatflap	2	0	3	2
53	GodIMissHer	Ehis	2	0	3	2
54	Truth	Dadzie	2	0	3	2
55	Candle	AllDay	2	0	3	2
56	Faucet	Violet	2	0	3	2
57	loaf	DatDerpDog	2	1	3	3
58	Stealth_Pilot	Lucky	2	0	3	2
59	GodIMissHer	Truth	2	0	3	2
60	Candle	Faucet	2	0	3	2
61	loaf	Stealth_Pilot	3	1	5	4
62	GodIMissHer	Candle	3	0	5	3
63	loaf	GodIMissHer	3	2	5	5
64	GodIMissHer	loaf	3	1	5	4
65	GodIMissHer	loaf	3	0	5	3
94	Mac_McBride	mitskileaks	2	0	3	2
95	Mime	Gigs	2	0	3	2
96	Shrub	math	2	0	3	2
98	CmB	Ian	2	0	3	2
100	emtea	BHHS	2	0	3	2
102	Zfump	Bloopy	2	0	3	2
103	Zenon	Phwii	2	0	3	2
107	wee	Morgan	2	1	3	3
108	GATTI SINCLAIR	a worm	2	0	3	2
109	Disco	Mailiam	2	0	3	2
110	Mac_McBride	GLLY	2	0	3	2
112	Maynnaise	Shrub	2	1	3	3
113	Geyser	BarbNation	2	0	3	2
114	Blaze	CmB	2	1	3	3
115	Hype2Hard	Zeboz	2	1	3	3
116	Kareem	emtea	2	0	3	2
117	Shrumble	NAF	2	0	3	2
118	Rush	Zfump	2	0	3	2
119	Bubswah	Zenon	2	0	3	2
120	Daddy Dan	KittyKrisps	2	0	3	2
121	GAY LORD	Daxe	2	0	3	2
122	Jackypoo	Superjack900	2	1	3	3
123	ADDICT	wee	2	0	3	2
124	spitz	GATTI SINCLAIR	2	0	3	2
125	Disco	Mac_McBride	2	1	3	3
126	Maynnaise	Mime	2	0	3	2
127	Geyser	Blaze	2	1	3	3
128	Kareem	Hype2Hard	2	0	3	2
129	Shrumble	Rush	2	0	3	2
130	Bubswah	Daddy Dan	2	1	3	3
131	Jackypoo	GAY LORD	2	1	3	3
132	ADDICT	spitz	2	0	3	2
133	Meatflap	Disco	2	0	3	2
134	Tosty	Maynnaise	2	0	3	2
136	Llomomo	Kareem	2	1	3	3
137	Violet	Shrumble	2	0	3	2
138	Bubswah	AllDay	2	1	3	3
139	Dadzie	Jackypoo	2	0	3	2
140	Ehis	ADDICT	2	0	3	2
141	Meatflap	Tosty	2	1	3	3
142	Llomomo	Geyser	2	1	3	3
143	Violet	Bubswah	2	0	3	2
144	Ehis	Dadzie	2	0	3	2
145	Truth	Meatflap	2	0	3	2
146	Llomomo	Faucet	2	0	3	2
147	Violet	DatDerpDog	2	0	3	2
148	Lucky	Ehis	2	1	3	3
149	Truth	Llomomo	3	0	5	3
150	Lucky	Violet	3	1	5	4
151	Stealth_Pilot	Truth	3	1	5	4
152	Lucky	Candle	3	1	5	4
153	Lucky	Stealth_Pilot	3	1	5	4
154	GodIMissHer	Lucky	3	0	5	3
