Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #19 at Black Ice	30 April 2022	loaf	42	79	http://smash.gg/tournament/freezie-friday-19-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/DF25AFB2-7A73-49B6-A115-058F884CFDFE
Set Num	Winner	Loser	WS	LS	Best of	Game
2	REAVER	Gwishin	2	0	3	2
6	Qwuartz	spitz	2	0	3	2
8	Morgan	CLAPP	2	0	3	2
10	studentX	Fil	2	0	3	2
14	Natchy	Deez	2	0	3	2
18	TacTac	E-Money	2	0	3	2
22	Flax	yonuh	2	1	3	3
24	GAY LORD	mitskileaks	2	0	3	2
26	Storm	Fox	2	0	3	2
30	bokobo	Juggz	2	0	3	2
33	loaf	REAVER	2	0	3	2
34	Yungsavage	Rush	2	0	3	2
35	DatDerpDog	Qwuartz	2	1	3	3
36	ADDICT	Morgan	2	0	3	2
37	Violet	studentX	2	0	3	2
38	sans.	BarbNation	2	0	3	2
40	Motionz	Jackypoo	2	0	3	2
41	Stealth_Pilot	TacTac	2	0	3	2
42	Faucet	Bunny5001	2	1	3	3
43	Ehis	Flax	2	0	3	2
44	Hype2Hard	GAY LORD	2	0	3	2
45	Ventura	Storm	2	0	3	2
46	Phantom	Blaze	2	0	3	2
47	Chan	bokobo	2	0	3	2
48	The Ashen Dragoon	RoboPanda	2	0	3	2
49	loaf	Yungsavage	2	0	3	2
50	DatDerpDog	ADDICT	2	0	3	2
51	Violet	sans.	2	0	3	2
52	Motionz	Natchy	2	0	3	2
53	Stealth_Pilot	Faucet	2	0	3	2
54	Ehis	Hype2Hard	2	0	3	2
55	Ventura	Phantom	2	0	3	2
56	The Ashen Dragoon	Chan	2	0	3	2
57	loaf	DatDerpDog	2	0	3	2
58	Motionz	Violet	2	0	3	2
59	Stealth_Pilot	Ehis	2	0	3	2
60	Ventura	The Ashen Dragoon	2	0	3	2
61	loaf	Motionz	3	0	5	3
62	Stealth_Pilot	Ventura	3	1	5	4
63	loaf	Stealth_Pilot	3	0	5	3
64	loaf	Stealth_Pilot	3	1	5	4
85	Gwishin	RoboPanda	2	0	3	2
87	spitz	Blaze	2	1	3	3
88	Storm	CLAPP	2	0	3	2
89	Fil	GAY LORD	2	1	3	3
91	Bunny5001	Deez	2	0	3	2
93	Jackypoo	E-Money	2	0	3	2
95	yonuh	BarbNation	2	1	3	3
96	studentX	mitskileaks	2	0	3	2
99	Rush	Juggz	2	0	3	2
101	Gwishin	bokobo	2	0	3	2
102	spitz	Storm	2	0	3	2
103	Flax	Fil	2	1	3	3
104	Bunny5001	TacTac	2	0	3	2
106	yonuh	studentX	2	1	3	3
107	Qwuartz	Morgan	2	0	3	2
108	Rush	REAVER	2	1	3	3
109	Natchy	Gwishin	2	0	3	2
110	spitz	sans.	2	1	3	3
111	ADDICT	Flax	2	1	3	3
112	Yungsavage	Bunny5001	2	0	3	2
113	Chan	Jackypoo	2	1	3	3
114	Phantom	yonuh	2	1	3	3
115	Hype2Hard	Qwuartz	2	0	3	2
116	Faucet	Rush	2	0	3	2
117	Natchy	spitz	2	0	3	2
118	ADDICT	Yungsavage	2	0	3	2
119	Chan	Phantom	2	0	3	2
120	Faucet	Hype2Hard	2	0	3	2
121	Ehis	Natchy	2	1	3	3
122	ADDICT	The Ashen Dragoon	2	0	3	2
123	DatDerpDog	Chan	2	0	3	2
124	Violet	Faucet	2	0	3	2
125	Ehis	ADDICT	3	2	5	5
126	DatDerpDog	Violet	3	1	5	4
127	Ehis	Motionz	3	0	5	3
128	Ventura	DatDerpDog	3	0	5	3
129	Ventura	Ehis	3	0	5	3
130	Stealth_Pilot	Ventura	3	0	5	3
