Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #23 at Black Ice eSports	18 June 2022	GodIMissHer	52	102	http://start.gg/tournament/freezie-friday-23-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/CA18F40C-901A-4B6F-9CAC-3038CBA64200
Set Num	Winner	Loser	WS	LS	Best of	Game
2	studentX	TacTac	2	0	3	2
3	Morgan	FED	2	0	3	2
4	sans.	beanboy	2	0	3	2
6	Zigglet	Fil	2	0	3	2
8	spitz	Lack of Thumbs	2	1	3	3
10	NAF	G0hji	2	0	3	2
11	Yungsavage	Juggz	2	0	3	2
12	Blaze	Pankate	2	0	3	2
14	bokobo	blackwolf	2	0	3	2
16	Rush	dabe	2	0	3	2
18	Haus	Snip	2	1	3	3
19	REAVER	emtea	2	0	3	2
20	Faucet	Palito	2	1	3	3
22	GAY LORD	Honeysmoo	2	0	3	2
24	//JumpMan//	BIG PHARMA	2	1	3	3
26	RoboPanda	FlameHorizon	2	0	3	2
27	Hype2Hard	HAZY	2	0	3	2
28	Limbo	Royal	2	0	3	2
30	Spritemare	eyesac	2	1	3	3
32	awert	Daxe	2	1	3	3
33	GodIMissHer	studentX	2	0	3	2
34	sans.	Morgan	2	0	3	2
35	Tosty	Zigglet	2	0	3	2
36	Meatflap	spitz	2	0	3	2
37	Vivian	NAF	2	0	3	2
38	Yungsavage	Blaze	2	0	3	2
39	Ehis	bokobo	2	0	3	2
40	Kden	Rush	2	0	3	2
41	Stealth_Pilot	Haus	2	0	3	2
42	Faucet	REAVER	2	0	3	2
43	Violet	GAY LORD	2	0	3	2
44	The Ashen Dragoon	//JumpMan//	2	0	3	2
45	stevenshark	RoboPanda	2	0	3	2
46	Limbo	Hype2Hard	2	1	3	3
47	Ventura	Spritemare	2	0	3	2
48	AllDay	awert	2	1	3	3
49	GodIMissHer	sans.	2	0	3	2
50	Meatflap	Tosty	2	0	3	2
51	Vivian	Yungsavage	2	0	3	2
52	Ehis	Kden	2	0	3	2
53	Stealth_Pilot	Faucet	2	0	3	2
54	Violet	The Ashen Dragoon	2	0	3	2
55	stevenshark	Limbo	2	0	3	2
56	Ventura	AllDay	2	0	3	2
57	GodIMissHer	Meatflap	2	0	3	2
58	Ehis	Vivian	2	0	3	2
59	Stealth_Pilot	Violet	2	1	3	3
60	stevenshark	Ventura	2	0	3	2
61	GodIMissHer	Ehis	3	1	5	4
62	Stealth_Pilot	stevenshark	3	2	5	5
63	GodIMissHer	Stealth_Pilot	3	0	5	3
64	GodIMissHer	stevenshark	3	2	5	5
86	FED	beanboy	2	0	3	2
90	Pankate	Juggz	2	0	3	2
94	Palito	emtea	2	0	3	2
98	Royal	HAZY	2	0	3	2
101	awert	TacTac	2	0	3	2
102	Spritemare	FED	2	0	3	2
103	Hype2Hard	Fil	2	0	3	2
104	RoboPanda	Lack of Thumbs	2	0	3	2
105	//JumpMan//	G0hji	2	0	3	2
106	GAY LORD	Pankate	2	0	3	2
107	REAVER	blackwolf	2	1	3	3
108	Haus	dabe	2	0	3	2
109	Rush	Snip	2	0	3	2
110	bokobo	Palito	2	1	3	3
111	Blaze	Honeysmoo	2	0	3	2
112	NAF	BIG PHARMA	2	0	3	2
113	spitz	FlameHorizon	2	0	3	2
114	Zigglet	Royal	2	0	3	2
115	Morgan	eyesac	2	0	3	2
116	Daxe	studentX	2	0	3	2
117	awert	Spritemare	2	0	3	2
118	Hype2Hard	RoboPanda	2	0	3	2
119	//JumpMan//	GAY LORD	2	1	3	3
120	REAVER	Haus	2	0	3	2
121	bokobo	Rush	2	0	3	2
122	Blaze	NAF	2	0	3	2
123	spitz	Zigglet	2	1	3	3
124	Daxe	Morgan	2	1	3	3
125	awert	Kden	2	1	3	3
126	Hype2Hard	Yungsavage	2	0	3	2
127	Tosty	//JumpMan//	2	0	3	2
128	sans.	REAVER	2	0	3	2
129	AllDay	bokobo	2	1	3	3
130	Limbo	Blaze	2	1	3	3
131	The Ashen Dragoon	spitz	2	0	3	2
132	Faucet	Daxe	2	1	3	3
133	awert	Hype2Hard	2	0	3	2
134	Tosty	sans.	2	1	3	3
135	AllDay	Limbo	2	0	3	2
136	The Ashen Dragoon	Faucet	2	1	3	3
137	Violet	awert	2	1	3	3
138	Ventura	Tosty	2	0	3	2
139	AllDay	Meatflap	2	1	3	3
140	Vivian	The Ashen Dragoon	2	0	3	2
141	Violet	Ventura	3	2	5	5
142	Vivian	AllDay	3	1	5	4
143	Ehis	Violet	3	0	5	3
144	stevenshark	Vivian	3	2	5	5
145	stevenshark	Ehis	3	0	5	3
146	stevenshark	Stealth_Pilot	3	1	5	4
