Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #32	15 August 2022	Failbot	31	61	http://start.gg/tournament/inver-grove-fights-32/event/ultimate-singles	https://braacket.com/tournament/B066CAB1-A663-4B40-98B0-8D536E494FC5
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Phantom	sans.	2	0	3	2
3	Ehis	Ark	2	0	3	2
4	Sean Sorey	WalMarth	2	0	3	2
5	Dadzie	Soda.Chip	2	0	3	2
6	Shrumble	MintyGuy700	2	1	3	3
7	Meatflap	Zenon	2	0	3	2
8	Disco	Crime Sunday	2	0	3	2
9	Ventura	a worm	2	0	3	2
10	Chan	Jackypoo	2	0	3	2
11	Carrfam	MTroll	2	0	3	2
12	Kareem	studentX	2	0	3	2
13	Violet	vanbungle	2	0	3	2
14	Bubswah	GAY LORD	2	0	3	2
15	CoeZ	Yungsavage	2	1	3	3
16	darkdoger	Blaze	2	0	3	2
17	Failbot	Phantom	2	0	3	2
18	Ehis	Sean Sorey	2	0	3	2
19	Dadzie	Shrumble	2	0	3	2
20	Meatflap	Disco	2	1	3	3
21	Ventura	Chan	2	0	3	2
22	Kareem	Carrfam	2	1	3	3
23	Violet	Bubswah	2	0	3	2
24	darkdoger	CoeZ	2	0	3	2
25	Failbot	Ehis	2	1	3	3
26	Dadzie	Meatflap	2	1	3	3
27	Ventura	Kareem	2	0	3	2
28	darkdoger	Violet	2	0	3	2
29	Failbot	Dadzie	3	0	5	3
30	Ventura	darkdoger	3	0	5	3
31	Ventura	Failbot	3	2	5	5
32	Failbot	Ventura	3	0	5	3
33	Failbot	Ventura	3	1	5	4
50	Ark	WalMarth	2	0	3	2
51	MintyGuy700	Soda.Chip	2	0	3	2
52	Crime Sunday	Zenon	2	1	3	3
53	Jackypoo	a worm	2	0	3	2
54	studentX	MTroll	2	0	3	2
55	GAY LORD	vanbungle	2	0	3	2
56	Blaze	Yungsavage	2	1	3	3
57	sans.	CoeZ	2	1	3	3
58	Bubswah	Ark	2	0	3	2
59	MintyGuy700	Carrfam	2	0	3	2
60	Chan	Crime Sunday	2	0	3	2
61	Disco	Jackypoo	2	0	3	2
62	Shrumble	studentX	2	1	3	3
63	Sean Sorey	GAY LORD	2	1	3	3
64	Phantom	Blaze	2	0	3	2
65	Bubswah	sans.	2	1	3	3
66	MintyGuy700	Chan	2	1	3	3
67	Shrumble	Disco	2	1	3	3
68	Sean Sorey	Phantom	2	0	3	2
69	Meatflap	Bubswah	2	0	3	2
70	Ehis	MintyGuy700	2	1	3	3
71	Violet	Shrumble	2	1	3	3
72	Sean Sorey	Kareem	2	1	3	3
73	Meatflap	Ehis	3	1	5	4
74	Violet	Sean Sorey	3	1	5	4
75	Meatflap	darkdoger	3	0	5	3
76	Violet	Dadzie	3	2	5	5
77	Violet	Meatflap	3	2	5	5
78	Failbot	Violet	3	0	5	3
