Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Med City Smash #100 - $100 Pot Bonus!	04 July 2022	Candle	48	166	http://start.gg/tournament/med-city-smash-100-100-pot-bonus/event/smash-ultimate-singles	https://braacket.com/tournament/0F138AAC-8338-49F5-A364-9831A5AE94BA
Set Num	Winner	Loser	WS	LS	Best of	Game	**MULTIPLE BRACKET PHASES**
1	Candle	AllDay	2	1	3	3
1	Candle	Naustad	2	0	3	2
2	Spooky	Senam	2	1	3	3
2	Meatflap	Jackypoo	2	1	3	3
3	Ventura	Bubswah	2	0	3	2
3	FriedBagel	Pistolet	2	0	3	2
4	darkdoger	MintyGuy700	2	1	3	3
4	Candle	Meatflap	2	0	3	2
5	Failbot	Meatflap	2	0	3	2
5	Naustad	Pistolet	2	0	3	2
6	Vomit	SeanVGM	2	0	3	2
6	Jackypoo	FriedBagel	2	1	3	3
7	Sean Sorey	Moon	2	0	3	2
7	Candle	Pistolet	2	0	3	2
8	Violet	Carrfam	2	0	3	2
8	Meatflap	FriedBagel	2	0	3	2
9	Candle	Spooky	2	1	3	3
9	Jackypoo	Naustad	2	1	3	3
10	Ventura	darkdoger	2	0	3	2
10	Candle	FriedBagel	2	0	3	2
11	Failbot	Vomit	2	0	3	2
11	Jackypoo	Pistolet	2	0	3	2
12	Violet	Sean Sorey	2	0	3	2
12	Meatflap	Naustad	2	0	3	2
13	Candle	Ventura	3	0	5	3
13	Candle	Jackypoo	2	0	3	2
14	Failbot	Violet	3	0	5	3
14	Naustad	FriedBagel	2	0	3	2
15	Failbot	Candle	3	1	5	4
15	Meatflap	Pistolet	2	0	3	2
16	Candle	Failbot	3	0	5	3
16	Failbot	HatGuy	2	0	3	2
17	Candle	Failbot	3	0	5	3
18	AllDay	TanMan	2	0	3	2
20	HatGuy	TanMan	2	0	3	2
21	AllDay	Reptiie	2	0	3	2
22	Failbot	TanMan	2	0	3	2
24	Reptiie	HatGuy	2	0	3	2
25	Failbot	AllDay	2	0	3	2
26	Reptiie	TanMan	2	0	3	2
28	Failbot	Reptiie	2	0	3	2
29	AllDay	HatGuy	2	0	3	2
30	TanMan	juku	2	0	3	2
31	Sean Sorey	Bubswah	2	1	3	3
32	Clover	chock	2	0	3	2
