Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #50	10 July 2022	Failbot	32	62	http://start.gg/tournament/stop-your-friendlies-50/event/ultimate-singles	https://braacket.com/tournament/35ACCD36-E67F-4A5A-AB36-92C473495DE7
Set Num	Winner	Loser	WS	LS	Best of	Game
1	GodIMissHer	Skaothi	2	0	3	2
2	Libero	Blaze	2	0	3	2
3	Drip	SirSilky	2	0	3	2
4	Meatflap	TacTac	2	0	3	2
5	Maya	Con	2	0	3	2
6	Camden	Faucet	2	0	3	2
7	Thor	Fil	2	0	3	2
8	sans.	BarbNation	2	1	3	3
9	Failbot	spitz	2	0	3	2
10	skippychompy	GAY LORD	2	1	3	3
11	Dadzie	Hennu_TRM	2	0	3	2
12	awert	Vetta	2	0	3	2
13	Lucky	Schnapps	2	1	3	3
14	Clifford	Crime Sunday	2	1	3	3
15	Violet	emtea	2	0	3	2
16	ADDICT	REAVER	2	0	3	2
17	GodIMissHer	Libero	2	0	3	2
18	Meatflap	Drip	2	1	3	3
19	Camden	Maya	2	1	3	3
20	Thor	sans.	2	1	3	3
21	Failbot	skippychompy	2	1	3	3
22	Dadzie	awert	2	0	3	2
23	Lucky	Clifford	2	0	3	2
24	Violet	ADDICT	2	1	3	3
25	GodIMissHer	Meatflap	2	0	3	2
26	Thor	Camden	2	0	3	2
27	Failbot	Dadzie	2	0	3	2
28	Lucky	Violet	2	0	3	2
29	GodIMissHer	Thor	3	1	5	4
30	Failbot	Lucky	3	2	5	5
31	Failbot	GodIMissHer	3	0	5	3
32	Failbot	GodIMissHer	3	1	5	4
49	Blaze	Skaothi	2	0	3	2
50	TacTac	SirSilky	2	1	3	3
51	Faucet	Con	2	0	3	2
52	Fil	BarbNation	2	1	3	3
53	GAY LORD	spitz	2	0	3	2
54	Vetta	Hennu_TRM	2	0	3	2
55	Schnapps	Crime Sunday	2	1	3	3
56	REAVER	emtea	2	0	3	2
57	ADDICT	Blaze	2	1	3	3
58	Clifford	TacTac	2	1	3	3
59	awert	Faucet	2	0	3	2
60	skippychompy	Fil	2	1	3	3
61	sans.	GAY LORD	2	0	3	2
62	Maya	Vetta	2	0	3	2
63	Drip	Schnapps	2	1	3	3
64	Libero	REAVER	2	1	3	3
65	ADDICT	Clifford	2	1	3	3
66	awert	skippychompy	2	0	3	2
67	Maya	sans.	2	0	3	2
68	Drip	Libero	2	1	3	3
69	Camden	ADDICT	2	1	3	3
70	awert	Meatflap	2	0	3	2
71	Violet	Maya	2	0	3	2
72	Dadzie	Drip	2	0	3	2
73	awert	Camden	3	0	5	3
74	Violet	Dadzie	3	2	5	5
75	Lucky	awert	3	0	5	3
76	Thor	Violet	3	0	5	3
77	Lucky	Thor	3	2	5	5
78	GodIMissHer	Lucky	3	1	5	4
