Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC #34	12 June 2022	Thor	22	43	http://start.gg/tournament/umec-34/event/ultimate-singles	https://braacket.com/tournament/09FB1E04-D528-49F5-9716-A46A04A18055
Set Num	Winner	Loser	WS	LS	Best of	Game
2	FalconPunch25	八	2	0	3	2
6	REAVER	Danford	2	1	3	3
8	Pignite	Kracken	2	0	3	2
10	dat	BMillion	2	0	3	2
14	DommyMommy12	Rush	2	0	3	2
16	skippychompy	Jackypoo	2	1	3	3
17	Thor	FalconPunch25	2	0	3	2
18	Sean Sorey	Disco	2	0	3	2
19	Meatflap	REAVER	2	0	3	2
20	AllDay	Pignite	2	0	3	2
21	Violet	dat	2	0	3	2
22	Blaze	The Ashen Dragoon	2	0	3	2
23	Dadzie	DommyMommy12	2	0	3	2
24	Llomomo	skippychompy	2	0	3	2
25	Thor	Sean Sorey	2	1	3	3
26	AllDay	Meatflap	2	1	3	3
27	Violet	Blaze	2	0	3	2
28	Dadzie	Llomomo	2	1	3	3
29	Thor	AllDay	3	0	5	3
30	Violet	Dadzie	3	2	5	5
31	Violet	Thor	3	1	5	4
32	Thor	Violet	3	0	5	3
33	Thor	Violet	3	1	5	4
46	skippychompy	八	2	0	3	2
48	The Ashen Dragoon	Danford	2	0	3	2
49	dat	Kracken	2	0	3	2
50	Pignite	BMillion	2	0	3	2
52	Disco	Rush	2	0	3	2
53	FalconPunch25	Jackypoo	2	0	3	2
54	skippychompy	DommyMommy12	2	1	3	3
55	The Ashen Dragoon	dat	2	0	3	2
56	Pignite	REAVER	2	1	3	3
57	Disco	FalconPunch25	2	1	3	3
58	Meatflap	skippychompy	2	0	3	2
59	Sean Sorey	The Ashen Dragoon	2	0	3	2
60	Llomomo	Pignite	2	0	3	2
61	Disco	Blaze	2	0	3	2
62	Meatflap	Sean Sorey	3	2	5	5
63	Llomomo	Disco	3	0	5	3
64	Dadzie	Meatflap	3	0	5	3
65	AllDay	Llomomo	3	2	5	5
66	Dadzie	AllDay	3	1	5	4
67	Thor	Dadzie	3	1	5	4
