Tournament	Date	Entrants	Matches	Link
The Comeback!: Birthday Edition [$100 POT BONUS]	07 March 2023	34	67	https://braacket.com/tournament/C4BEF74E-3EAB-4C6E-8AEC-7B0CAE9A31FF
UMEC #50	06 March 2023	12	22	https://braacket.com/tournament/E1CF124A-E858-4AC2-A128-DAA64476A90C
The Pantown Throwdown 2 : Ultimate and Melee singles	05 March 2023	20	38	https://braacket.com/tournament/90DF8B5E-5136-4693-A17F-F3E1BB79995C
Leveling @ LUG #7	04 March 2023	16	30	https://braacket.com/tournament/3D37FFE2-D3E9-4F30-B879-29EADCB66376
Advantage State #60	03 March 2023	47	93	https://braacket.com/tournament/5C5B0639-B4D3-40F0-BB7E-67010911F0F8
Inver Grove Fights #44	27 February 2023	21	40	https://braacket.com/tournament/0158DF57-0695-4D2F-A111-8E67687BF8D9
Leveling @ LUG #6	25 February 2023	26	50	https://braacket.com/tournament/C2EFB215-B48F-40EC-80E6-88DE9A93F422
Sleet & Beat	20 February 2023	70	131	https://braacket.com/tournament/6C50CED7-65FE-4F68-9EFA-4943E58DAE87
Leveling @ LUG #5	18 February 2023	23	44	https://braacket.com/tournament/A08960E9-AF10-482E-BC7B-7C390F6C6D81
Advantage State #59	17 February 2023	68	133	https://braacket.com/tournament/2E0A55E3-1F54-4144-B0E2-5358A58F2552
Inver Grove Fights #43	13 February 2023	31	60	https://braacket.com/tournament/1AC19E7A-6A3B-4E5B-8A03-81268DAA411F
Leveling @ LUG #4	11 February 2023	21	39	https://braacket.com/tournament/A0FED2A7-2FE6-44B5-901B-67E203B4A4A6
Advantage State #58	10 February 2023	56	109	https://braacket.com/tournament/28A95478-049E-4105-8257-8213EBDAD2BD
Advantage State #57	03 February 2023	45	89	https://braacket.com/tournament/197CDDA0-DC45-4FEB-B4F9-4349533EEDF5
Inver Grove Fights #42	30 January 2023	28	55	https://braacket.com/tournament/0D785DE7-B0F3-4DC8-B050-AC2EF4D6F9E7
Advantage State #56	27 January 2023	53	104	https://braacket.com/tournament/E197BCC9-402A-443E-AB4B-0BC2C7C16947
Leveling @ LUG #3	21 January 2023	39	77	https://braacket.com/tournament/95B6C689-0FBC-4988-A6D6-2790F06E687B
Advantage State #55	20 January 2023	80	156	https://braacket.com/tournament/EE568E1C-1304-4B09-AAE8-56B76DC2ECEE
The Comeback! #38	17 January 2023	23	45	https://braacket.com/tournament/BBF354B7-C4C3-433C-813E-0A2C5E92DCE9
Inver Grove Fights #41	16 January 2023	29	57	https://braacket.com/tournament/F92E3F0A-C98B-4D3B-A7FF-C88FE1B3B9CE
The Pantown Throwdown : Ultimate and Melee singles	15 January 2023	24	45	https://braacket.com/tournament/AC5F83EA-040D-4F2C-9201-A2A8C2EB72B8
The Comeback! #37	10 January 2023	16	31	https://braacket.com/tournament/DF490FE2-30EB-4EC5-906E-B26A2F096FCD
Granite City Smash @ LGS #34	09 January 2023	19	37	https://braacket.com/tournament/C63AA01C-2C2F-4405-964A-86CC007D8051
