Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Eagan Open	29 October 2022	LazyZach	32	60	http://start.gg/tournament/eagan-open/event/ultimate-singles	https://braacket.com/tournament/01C8EAFE-CE95-4499-AA7D-BEC0409DD874
Placement	Tag	Alt
1	LazyZach	#TransRights | LazyZach
2	Phantom	Phantom
3	MilkTea	MilkTea
4	A_bob ross	TA | A_bob ross
5	Floop	Floop
5	Vortex	Vortex
7	Eddie	Eddie
7	studentX	studentX
9	GreatDaneGamer	GreatDaneGamer
9	magnum_mon	magnum_mon
9	Novled_	Novled_
9	ChuckNDuck	RHS | ChuckNDuck
13	Chunkysauce	Chunkysauce
13	Gummy	Gummy
13	LaFever	LaFever
13	Supper	Supper
17	- K/NG -	- K/NG -
17	.k	.k
17	CaptainEnder401	CaptainEnder401
17	Clubman	Clubman
17	Hi-Score Henry	Hi-Score Henry
17	JFee0003	JFee0003
17	kredillion	kredillion
17	Soupgaming23	Soupgaming23
25	Chucknugget20	Chucknugget20
25	GoGo101	Foley | GoGo101
25	JonsTheWizard	JonsTheWizard
25	Shadmaster	Shadmaster
25	Toast (Adept)	Toast (Adept)
25	King k cruel	TRHS | King k cruel
25	VelvetyJack1	VelvetyJack1
25	WalkerSlayer	WalkerSlayer
