Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG	04 December 2022	Stealth_Pilot	32	63	http://start.gg/tournament/leveling-lug/event/ultimate-singles	https://braacket.com/tournament/5B3360D3-D703-4151-931B-13B21F50CAB6
Placement	Tag	Alt
1	Stealth_Pilot	Stealth_Pilot
2	Neet	Neet
3	Vivian	gg
4	LazyZach	Gummy the Goat | LazyZach
5	Maya	Maya
5	Treyara	Treyara
7	Dadzie	Dadzie
7	Drip	Drip
9	awert	awert
9	Ehis	Ehis
9	Meatflap	Meatflap
9	Blaze	tcmBlazeK
13	Mistral	BAD | Mistral
13	BarbNation	BarbNation
13	Llomomo	BTL | Llomomo
13	MilkTea	MilkTea
17	Chan	Chan
17	Fil	Fil
17	VinnyTea	FS | VinnyTea
17	kogame	GH | | kogame
17	Phantom	Phantom
17	Spritemare	Spritemare
17	studentX	studentX
17	Zenon	Zenon
25	Gummy	Gummy
25	Gwishin	Gwishin
25	Hype2Hard	Hype2Hard
25	LaFever	LaFever
25	Pony	Pony
25	Ragnarok	Ragnarok
25	SaintCD	SaintCD
25	spitz	spitz
