Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #70	16 December 2022	Stealth_Pilot	19	36	http://start.gg/tournament/stop-your-friendlies-70/event/ultimate-singles	https://braacket.com/tournament/4777E559-BBF5-4362-BC08-221295382300
Placement	Tag	Alt
1	Stealth_Pilot	Stealth_Pilot
2	Dadzie	Dadzie
3	Drip	Drip
4	Neet	cello gaming | Neet
5	Meatflap	Meatflap
5	sans.	sans. | sans.
7	Treyara	Treyara
7	Yungsavage	Yungsavage
9	BarbNation	BarbNation
9	Chan	Chan
9	Cranky	Cranky
9	Blaze	tcmBlazeK
13	Blaughable	Blaughable
13	bokobo	bokobo
13	Limbo	Hot Anime Mom
13	TacTac	TacTac
17	Brekkm	Brekkm
17	Gummy	Gummy
17	studentX	studentX
