Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #29	01 November 2022	Thor	16	31	http://start.gg/tournament/the-comeback-29/event/ultimate-singles	https://braacket.com/tournament/65966901-CBD0-44BE-A386-603B0F227BA2
Placement	Tag	Alt
1	Thor	BigOninFan
2	Dadzie	Dadzie
3	Maya	Maya
4	Meatflap	Meatflap
5	Sean Sorey	Naruto12
5	Violet	Solving 9/11
7	BarbNation	BarbNation
7	sans.	sans. | sans.
9	Bungy	Bungy
9	Eth	Eth
9	Blaze	tcmBlazeK
9	Jackypoo	The Allegations
13	DextheRex	D-recks
13	Huski	Huski
13	Saweatie	Saweatie
13	shayesy	shayesy
