Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC #46	12 December 2022	Meatflap	27	52	http://start.gg/tournament/umec-46-1/event/ultimate-singles	https://braacket.com/tournament/19821450-DE9E-4737-9105-EFAB3EE533A6
Placement	Tag	Alt
1	Meatflap	Meatflap
2	Dadzie	Dadzie
3	Aurokon	G | Degeneroar
4	Sean Sorey	Sean Sorey
5	Ehis	Ehis
5	Violet	Violet
7	BarbNation	BarbNation
7	Sanguine	Sanguine
9	Pignite	Pignite
9	sans.	sans. | sans.
9	Blaze	tcmBlazeK
9	Yungsavage	Yungsavage
13	Divine	Divine
13	Eth	Eth
13	lunchtime	lunchtime
13	Zenon	Zenon
17	Big Koocher	Big Koocher
17	FriedBagel	FriedBagel
17	Greta	Greta
17	Hellfire	Hellfire
17	Morgan	Morgan
17	A Shape	Shape
17	Smasher	Smasher
17	Spritemare	Spritemare
25	ItsSunsett	ItsSunsett
25	munch glue	munch glue
25	Phwii	Phwii
