Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
UMEC Monthly #1	11 September 2022	GodIMissHer	21	41	http://start.gg/tournament/umec-monthly-1/event/ultimate-singles	https://braacket.com/tournament/BBA797B0-DAA0-4022-9B52-5A8828373566
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Truth	Resident Fraud
3	Thor	BigOninFan
4	AllDay	AllDay
5	BarbNation	BarbNation
5	Violet	JWong
7	A_N	A_N
7	Sean Sorey	Sean Sorey
9	Blaze	BlazeK114
9	Pignite	Pignite
9	The Ashen Dragoon	The Ashen Dragoon
9	Yungsavage	Yungsavage
13	dabe	dabe
13	Eth	Eth
13	Gamespeer	GameSpeer
13	Zenon	Zenon
17	RedLion19	0-2 | RedLion19
17	Hellfire	Hellfire
17	Jolteon Dreamer	Jolteon Dreamer
17	RisingWalsh	RisingWalsh
17	Teejismyname	Teejismyname
