Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #57	03 February 2023	GodIMissHer	45	89	http://start.gg/tournament/advantage-state-57/event/ultimate-singles	https://braacket.com/tournament/197CDDA0-DC45-4FEB-B4F9-4349533EEDF5
Placement	Tag	Alt
1	GodIMissHer	GodIMissHer
2	Truth	тяцтн
3	Violet	Disco
4	TRAIN	TRAIN
5	Vivian	22 | BIG SWIFTIE
5	Mistral	BAD | Mistral
7	Kareem	My Back Hurts
7	Phantom	Phantom
9	ADDICT	<3 | ADDICT
9	Limbo	Bing bong it's limbong
9	Disco	Cringe Ass Nae Nae Baby
9	Meatflap	Meatflap
13	awert	awert
13	Eth	Eth
13	Spritemare	Spritemare
13	Senam	The Brave Little Joester
17	Capital G	Capital G
17	Wilk	CF | Wilk
17	Natchy	Natchy
17	A Shape	Shape
17	studentX	studentX
17	Blaze	tcmBlazeK
17	thrill	thrill
17	Tungsten'	Tungsten'
25	BigJayhawk	BigJayhawk
25	Gummy	GG | Gummy
25	lumenessence	lumenessence
25	Abnormal	M | Abnormal
25	PackJendleton	PackJendleton
25	Rush	Rush
25	sans.	sans. | sans.
25	TG_Link	TG_Link
33	CdTug	CdTug
33	Ragnarok	CH_Rider
33	Dungeon Connor	Dungeon Connor
33	Gilgamesh	Gilgamesh
33	JGoose	JGoose
33	joey	Joey
33	Little McGlitch	Little McGlitch
33	lotuskosal	lotuskosal
33	Nordic bard	Nordic bard
33	Privé	Privé
33	Razzi	Razzi
33	SaintCD	SaintCD
33	soulrack	Soulrack
