Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #60	03 March 2023	loaf	47	93	http://start.gg/tournament/advantage-state-60/event/ultimate-singles	https://braacket.com/tournament/5C5B0639-B4D3-40F0-BB7E-67010911F0F8
Placement	Tag	Alt
1	loaf	loaf
2	Vivian	22 | BIG SWIFTIE
3	Violet	Hello Kinnie
4	Thor	BigOninFan
5	Kareem	Average Techbro
5	Mistral	BAD | Mistral
7	Neet	check ur gmail
7	Drip	Drip
9	BarbNation	BarbNation
9	Chan	Chan
9	Fette	Fette
9	Franzwa	Franzwa
13	awert	awert
13	MN Aero	Pac | MN Aero
13	Limbo	RNJesus
13	Tungsten'	Tungsten'
17	ADDICT	<3 | ADDICT
17	Blaze	Blaze
17	bokobo	bokobo
17	Capital G	Capital G
17	Eth	Eth
17	Runa	Runa
17	Spritemare	Spritemare
17	WhatsAKingToAGod	WhatsAKingToAGod
25	BigJayhawk	BigJayhawk
25	Ragnarok	CH_Rider
25	Divine	Divine
25	LaFever	LaFever
25	Little McGlitch	Little Mcglitch
25	Owl	Owl
25	Privé	Privé
25	sans.	sans. | sans.
33	BrickBrain	Brickbrain
33	data	Data
33	FriedBagel	FriedBagel
33	Gummy	GG | Gummy
33	Haus	Haus
33	Jester	Jester
33	lotuskosal	lotuskosal
33	Abnormal	M | Abnormal
33	Pablo	Pablo
33	Pony	Pony
33	Rival	Rival
33	Rush	Rush
33	Snugs	Snugs
33	ssjneo	ssjneo
33	TG_Link	TG_Link
