Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #61	10 March 2023	Lucky	64	126	http://start.gg/tournament/advantage-state-61/event/ultimate-singles	https://braacket.com/tournament/8C4A6283-94E1-4A1E-908B-4CC41BA0D3A2
Placement	Tag	Alt
1	Lucky	Lucky
2	Maya	Maya
3	loaf	Loaf
4	Mistral	BAD | Mistral
5	Vivian	22 | BIG SWIFTIE
5	Ventura	Kareem eSports | Ventura
7	Kareem	Average Techbro
7	Drip	Drip
9	Violet	Aidan
9	Thor	BigOninFan
9	Ehis	Ehis
9	Meatflap	Meatflap
13	BarbNation	BarbNation
13	Hype2Hard	Hype2Hard
13	MilkTea	MilkTea
13	Tosty	Tosty
17	awert	awert
17	Blaze	Blaze
17	Capital G	Capital G
17	DatDerpDog	Datderpdog
17	Haus	Haus
17	Geyser	MTU | Geyser
17	MN Aero	Pac | MN Aero
17	Spritemare	Spritemare
25	ADDICT	<3 | ADDICT
25	BigJayhawk	BigJayhawk
25	Eth	Eth
25	Faucet	Faucet
25	Gummy	GG | Gummy
25	Pestilence	Pestilence
25	Phantom	Phantom
25	SWAG	Swag
33	BIG PHARMA	BIG PHARMA
33	bokobo	bokobo
33	Llomomo	BTL | Llomomo
33	Dapper	Dapper
33	Crime Sunday	Dark Krooze
33	emtea	Emtea
33	Ghost	Ghost
33	Juggz	Juggz
33	Abnormal	M | Abnormal
33	Motionz	Motionz
33	ori0n	ori0n
33	Owl	OWL
33	Pony	Pony
33	WEET THINS	President WEET THINS
33	sans.	sans. | sans.
33	studentX	studentX
49	Araway	Araway
49	Beest	Beest
49	CdTug	Cdtug
49	E-Money	CSP | E-Money
49	HurryCaine	HurryCaine
49	Ragnarok	King Banyon
49	Privé	Privé
49	Runa	Runa
49	Rushbo	Rushbo
49	Rusty	Rusty
49	Tekk	Tekk
49	TG_Link	TG_Link
49	Dab Pen	TSM | Dab Pen
49	RayBaseball17	VFM | RayBaseball17
49	Watermeloan	Watermeloan
49	yonuh	yonuh
