Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Granite City Smash @ LGS #34	09 January 2023	HeroAwesome	19	37	http://start.gg/tournament/granite-city-smash-lgs-34/event/ultimate-singles	https://braacket.com/tournament/C63AA01C-2C2F-4405-964A-86CC007D8051
Placement	Tag	Alt
1	HeroAwesome	HeroAwesome
2	Erin	605 | 分隊 | Erin
3	peparony	OneStudio | peparony
4	Neet	cello gaming | Neet
5	Boolahan	Boolahan
5	Shrumble	Shrumble
7	Bunny5001	Bunny5001
7	Dole Dips	Ram Ranch | Dole Dips
9	XX17	Dervid Gaming | schmovinCLOUD3000v2
9	Pickl	Pickl
9	Retro	Retro
9	Rexdamage	Rexdamage
13	blrasmu	Blake | blrasmu
13	Coolbeans	Coolbeans
13	grant	Grant
13	Trickster	Trickster
17	McNutty	<3 JBONE | McNutty
17	Ben10	Ben10
17	Cheez	Cheez
