Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #42	30 January 2023	Truth	28	55	http://start.gg/tournament/inver-grove-fights-42/event/ultimate-singles	https://braacket.com/tournament/0D785DE7-B0F3-4DC8-B050-AC2EF4D6F9E7
Placement	Tag	Alt
1	Truth	Maelstrom
2	Violet	Schrodinger's Catgirl
3	Meatflap	Meatflap
4	Drip	Drip
5	Mistral	BAD | Mistral
5	Sean Sorey	Sean Sorey
7	MintyGuy700	MintyGuy700
7	Kareem	My Back Hurts
9	Flax	Flax
9	Nuoc Soi	Nuoc Soi
9	Spritemare	Spritemare
9	Yungsavage	Yungsavage
13	CoeZ	CoeZ
13	Tapeworm	Tapeworm
13	Tungsten'	Tungsten'
13	WhatsAKingToAGod	WhatsAKingToAGod
17	Llomomo	BTL | Llomomo
17	Cribdoc	Cribdoc
17	MTroll	MTroll
17	Nizmo	Nizmo
17	Blaze	Pyro Princess
17	sans.	sans. | sans.
17	Sor	Sor
17	studentX	studentX
25	Calvin	Calvin
25	Gains	Gains
25	vanbungle	vanbungle
25	Wagon	Wagon
