Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #43	13 February 2023	Truth	31	60	http://start.gg/tournament/inver-grove-fights-43/event/ultimate-singles	https://braacket.com/tournament/1AC19E7A-6A3B-4E5B-8A03-81268DAA411F
Placement	Tag	Alt
1	Truth	Ali Baba and the 40 Hoes
2	Violet	Captain FootballTeam
3	Dadzie	Dadzie
4	Kareem	My Back Hurts
5	Neet	check ur gmail
5	Drip	Drip
7	Phantom	Phantom
7	Yungsavage	Yungsavage
9	aidan	aidan
9	Flax	Flax
9	M0ns00n	M0ns00n
9	Blaze	tcmBlazeK
13	Rush	Rush
13	sans.	sans. | sans.
13	trippybutter	trippybutter
13	Tungsten'	Tungsten'
17	Clavual	Clavual
17	Fblthp	Fblthp
17	Gummy	GG | Gummy
17	JStrudel	Juniper
17	magnum_mon	magnum_mon
17	Spritemare	Spritemare
17	TheWeldo	TheWeldo
17	Zimri	Zimri
25	bang	bang
25	WalMarth	C2O | WalMarth
25	Gains	Gains
25	Mega	Mega
25	Ms.woMAN	Ms.woMAN
25	vanbungle	vanbungle
25	Wagon	Wagon
