Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #44	27 February 2023	Ventura	21	40	http://start.gg/tournament/inver-grove-fights-44/event/ultimate-singles	https://braacket.com/tournament/0158DF57-0695-4D2F-A111-8E67687BF8D9
Placement	Tag	Alt
1	Ventura	Kareem eSports | Ventura
2	Mistral	BAD | Mistral
3	Meatflap	Meatflap
4	Chan	Chan
5	Kareem	Average Techbro
5	Blaze	Blaze
7	awert	awert
7	Crime Sunday	Dark Krooze
9	BIG WILL	A!R | BIG WILL
9	Senam	Kareem Esports | Senam
9	Rush	Rush
9	Yungsavage	Yungsavage
13	Gains	Gains
13	Gummy	GG | Gummy
13	studentX	studentX
13	Tungsten'	Tungsten'
17	Cribdoc	Cribdoc
17	sans.	sans. | sans.
17	The Football	The | Football
17	vanbungle	vanbungle
17	Wagon	Wagon
