Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #3	21 January 2023	Lucky	39	77	http://start.gg/tournament/leveling-lug-3/event/ultimate-singles	https://braacket.com/tournament/95B6C689-0FBC-4988-A6D6-2790F06E687B
Placement	Tag	Alt
1	Lucky	Lucky
2	Vivian	22 | BIG SWIFTIE
3	Truth	Abat
4	loaf	loaf
5	GodIMissHer	GodIMissHer
5	Ventura	Kareem eSports | Ventura
7	Mistral	BAD | Mistral
7	Meatflap	Meatflap
9	Ehis	Ehis
9	LazyZach	GG | LazyZach
9	Hype2Hard	Hype2Hard
9	Stealth_Pilot	Stealth_Pilot
13	awert	awert
13	Llomomo	BTL | Llomomo
13	Treyara	GDN | Treyara
13	Yungsavage	Yungsavage
17	BarbNation	BarbNation
17	Limbo	Bing bong it's limbong
17	Daddy Dan	Daddy Dan
17	Flax	Flax
17	Maynnaise	Maynnaise
17	Nuoc Soi	Nuoc Soi
17	sans.	sans. | sans.
17	trapgum	trapgum
25	emtea	Emtea
25	Gummy	GG | Gummy
25	Kelkador	Kelkador
25	Natchy	Natchy
25	Rush	Rush
25	SeanVGM	SeanVGM
25	spitz	spitz
25	yonuh	yonuh
33	ElectricMuffin	Ai Ohto | ElectricMuffin
33	bokobo	bokobo
33	Storm	CSP | Storm
33	Esper	Esper
33	Juggz	Juggz
33	Rivkalia	Rivkalia
33	A Shape	Shape
