Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #4	11 February 2023	Truth	21	39	http://start.gg/tournament/leveling-lug-4/event/ultimate-singles	https://braacket.com/tournament/A0FED2A7-2FE6-44B5-901B-67E203B4A4A6
Placement	Tag	Alt
1	Truth	тяцтн
2	Mistral	BAD | Mistral
3	Ehis	Ehis
4	Limbo	RNJesus
5	BarbNation	BarbNation
5	Chan	Chan
7	ADDICT	<3 | ADDICT
7	Yungsavage	Yungsavage
9	awert	awert
9	Thor	BigOninFan
9	Storm	CSP | Storm
9	Blaze	tcmBlazeK
13	Alm#0420	Alm#0420
13	Gummy	GG | Gummy
13	Maynnaise	Maynnaise
13	Tekk	Tekk
17	Animedurag	Animedurag
17	BIG PHARMA	BIG PHARMA
17	Rivkalia	Rivkalia
17	sans.	sans. | sans.
17	Young Night Train	SDC | Young Night Train
