Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #8	11 March 2023	Vivian	30	59	http://start.gg/tournament/leveling-lug-8/event/ultimate-singles	https://braacket.com/tournament/CA3AE154-2311-42DD-B519-04613B98F266
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	Failbot	Rad | Failbot
3	Maya	SUPERBIGMARIOFAN
4	Mistral	BAD | Mistral
5	Dadzie	Dadzie
5	Ehis	Ehis
7	Franzwa	Franzwa
7	Stealth_Pilot	Stealth_Pilot
9	ADDICT	<3 | ADDICT
9	VinnyTea	FS | VinnyTea
9	The Ashen Dragoon	The Ashen Dragoon
9	Yungsavage	Yungsavage
13	BarbNation	BarbNation
13	Blaze	Blaze
13	bokobo	bokobo
13	Hype2Hard	Hype2Hard
17	awert	awert
17	Llomomo	BTL | Llomomo
17	Chan	Chan
17	Cranky	Cranky
17	Gummy	GG | Gummy
17	Geyser	MTU | Geyser
17	Limbo	RNJesus
17	Rush	Rush
25	Crime Sunday	Dark Krooze
25	emtea	Emtea
25	Fil	Fil
25	Juggz	Juggz
25	SeanVGM	SeanVGM
25	spitz	spitz
