Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #37	10 January 2023	Failbot	16	31	http://start.gg/tournament/the-comeback-37/event/ultimate-singles	https://braacket.com/tournament/DF490FE2-30EB-4EC5-906E-B26A2F096FCD
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	Ventura	Kareem eSports | Ventura
3	Meatflap	Meatflap
4	Dadzie	Dadzie
5	Drip	Drip
5	Sean Sorey	Seangregation
7	CmB	CmB
7	Violet	GovernmentFundedBigBird
9	spitz	spitz
9	Spritemare	Spritemare
9	Blaze	tcmBlazeK
9	Jackypoo	The Allegations
13	BIG WILL	A!R | BIG WILL
13	sans.	sans. | sans.
13	Toasty	Toasty
13	umfinna	umfinna
