Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! #45	14 March 2023	Maya	12	22	http://start.gg/tournament/the-comeback-45/event/ultimate-singles	https://braacket.com/tournament/228979B6-A101-486A-AADE-73047E5F0025
Placement	Tag	Alt
1	Maya	SUPERBIGMARIOFAN
2	Thor	BigOninFan
3	Hunter	Hunter
4	Neet	check ur gmail
5	Drip	Drip
5	Franzwa	Franzwa
7	D34D_M4N14C	D34D_M4N14C
7	Sean Sorey	Sean Sorey
9	Crime Sunday	Dark Krooze
9	Kelkador	Kelkador
9	Kigorian	Kigorian
9	sans.	sans. | sans.
