Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Pantown Throwdown 2  Ultimate and Melee singles	05 March 2023	Shrumble	20	38	http://start.gg/tournament/the-pantown-throwdown-2-ultimate-and-melee-singles/event/ultimate-singles	https://braacket.com/tournament/90DF8B5E-5136-4693-A17F-F3E1BB79995C
Placement	Tag	Alt
1	Shrumble	Shrumble
2	Shaeffen	Shaeffen
3	Bunny5001	Bunny5001
4	Vision	Vision
5	Jobin	Jobin
5	Typho	Typho
7	Bkay	Bkay
7	monkeymandave	monkeymandave
9	LiquidCake	Lcake | LiquidCake
9	metalforfish	metalforfish
9	Spagon	Spagon
9	Zulo	Zulo
13	Astral	Astral
13	Bread (Saint Cloud)	Bread
13	cage	cage
13	ShadowHunter77	ShadowHunter77
17	McNutty	<3 JBONE | McNutty
17	crowboar	crowboar
17	Scarrien	Scarrien
17	WickyDubs	WickyDubs
