Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #45	28 July 2022	GodIMissHer	58	112	http://start.gg/tournament/advantage-state-45/event/ultimate-singles	https://braacket.com/tournament/67D38359-8EC8-4B53-9F49-590D141AD6EF
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Thor	Thor
3	Lucky	Lucky
4	Maya	Maya
5	LazyZach	#TransRights | LazyZach
5	Hunter	Hunter
7	Dadzie	Dadzie
7	Truth	Resident Fraud
9	Ehis	Ehis | Ehis
9	Faucet	Faucet
9	Meatflap	Meatflap
9	sinnyboo242	NA | sinnyboo242
13	Dragonbeast	BL | Dragonbeast
13	Disco	Dsco
13	MN Aero	Pac | MN Aero
13	Yungsavage	Yungsavage
17	Blaze	BlazeK114
17	Drip	Drip
17	Franzwa	Franzwa
17	Phantom	Phantom
17	Quank	quank
17	skippychompy	skippychompy (VDC)
17	The Ashen Dragoon	The Ashen Dragoon
17	Violet	WhatsApp Ricky
25	BarbNation	BarbNation
25	Llomomo	BTL | Llomomo
25	Bubswah	Bubswah
25	Carrfam	Carrfam
25	FriedBagel	FriedBagel
25	Pestilence	Pestilence
25	sans.	sans. | sans.
25	spitz	spitz
33	Daxe	Daxe
33	DykeLord	DykeLord
33	Jackypoo	Employed Smasher
33	Eth	Eth
33	Gains	Gains
33	Geyser	Geyser
33	Crime Sunday	Gus
33	JKDhero	JKDhero
33	JohnnyJah	JohnnyJah
33	lumenessence	lumenessence
33	Pony	Pony
33	Razzi	Razzi
33	RoboPanda	RoboPanda
33	SULRoY	SOG | SULRoY
33	Spritemare	Spritemare
33	Tapeworm	Tapeworm
49	Bavier	Bavier
49	Faun	Faun
49	Gummy	Gummy
49	Haus	Haus
49	icymcspicy	icymcspicy
49	LaFever	LaFever
49	Myewps	Myewps
49	NIKANA	NIKANA
49	SaintCD	SaintCD
49	Vetta	Vetta
