Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #49	25 August 2022	loaf	64	126	http://start.gg/tournament/advantage-state-49/event/ultimate-singles	https://braacket.com/tournament/A8242791-4B09-4637-9A03-7ED66C67DCCF
Placement	Tag	Alt
1	loaf	loaf
2	Vivian	fem | Vivian
3	Truth	Resident Fraud
4	Vomit	Vomit
5	AllDay	AllDay
5	Ventura	Kareem Gaming | Ventura
7	Kareem	Kareem eSports | Kareem!
7	Rayne!	Rayne!
9	Captain Jett	Captain Jett
9	Violet	Kareem eSports | Jeff Falcoworthy
9	Maya	Maya
9	Meatflap	Meatflap
13	Blaze	BlazeK114
13	Drip	Drip
13	The Ashen Dragoon	The Ashen Dragoon
13	Tosty	Tosty
17	Mistral	BAD | Mistral
17	Chan	Chan
17	Ehis	Ehis
17	Kingdra	KPG | Kingdra
17	Kronk	Kronk | Kronk
17	Camden	NC-17 | Camden
17	RoboPanda	RoboPanda
17	Senam	Senam
25	Natchy	Natchy
25	Phantom	Phantom
25	Roll	Roll
25	sans.	sans. | sans.
25	Spritemare	Spritemare
25	trapgum	trapgum
25	Dab Pen	TSM | Dab Pen
25	Yungsavage	Yungsavage
33	BarbNation	BarbNation
33	Daxe	Daxe
33	Disco	Dsco
33	Gamespeer	GameSpeer
33	Capital G	Jimbo
33	Limbo	Limbo
33	Abnormal	M | Abnormal
33	BIG WILL	MADVILLAIN | BIG WILL
33	MintyGuy700	MintyGuy700
33	Morgan	Morgan
33	Nooper	Nooper
33	Pony	Pony
33	Privé	Privé
33	Razzi	Razzi
33	SeanVGM	SeanVGM
33	Crime Sunday	Swaggertron500
49	pikúshu	420 | pikúshu
49	cd2000	cd2000
49	ceedyiris	ceedyiris
49	Daddy Dan	Daddy Dan
49	DudeBro	DudeBro
49	Eth	Eth
49	geeb	goatboy
49	Haus	Haus
49	icymcspicy	icymcspicy
49	Kelkador	Kelkador
49	KQNK	KQNK
49	LaFever	LaFever
49	lumenessence	lumenessence
49	NekoKai	NekoKai
49	spitz	spitz
49	vanbungle	vanbungle
