Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
First Annual 100% Whole Grain WEET THINS Duluth Summer Smackdown $500 POT BONUS	24 July 2022	GodIMissHer	24	46	http://start.gg/tournament/first-annual-100-whole-grain-weet-thins-duluth-summer-smackdown/event/ultimate-singles	https://braacket.com/tournament/FAF7AEB6-A0C1-46DA-96B4-DB9155F11F64
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	Lucky	Lucky
3	Maya	Maya
4	Dadzie	Dadzie
5	TheVP	A | TheVP
5	Aurokon	G | Aurokon
7	Spritemare	Spritemare
7	Yungsavage	Yungsavage
9	BarbNation	BarbNation
9	Buster	Buster
9	Fil	DrFil
9	stone	stone
13	Juraf	Juraf
13	lolstreet	lolstreet
13	mugfase	mugfase
13	ori0n	ori0n
17	DireWolf	DireWolf
17	DmMeUrFeet	DmMeUrFeet
17	Fyre	Fyre
17	Gay Plant	Gay Plant
17	GumpTheDump	GumpTheDump
17	Prongs	Prongs
17	TacTac	TacTac
17	WEET THINS	WEET THINS
