Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #5 at Black Ice	16 April 2022	Maya	62	122	http://smash.gg/tournament/freeze-frame-5-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/0D0FF11F-86CC-4A30-8DA6-B835D1DCAE10
Placement	Tag	Alt
1	Maya	Mirai
2	Lucky	Lucky
3	Meatflap	Meatflap
4	Stealth_Pilot	Stealth_Pilot
5	Disco	BLVNTSMVKER9000
5	Thor	Thor
7	Aura Wolf	Aura Wolf
7	VinnyTea	FS | VinnyTea
9	Aurokon	Aurokon
9	Violet	Cruel Angel Yeezus
9	The Ashen Dragoon	The Ashen Dragoon
9	Tosty	Tosty
13	Chess	BIG DMG | Chess
13	Dadzie	Dadzie
13	Kden	Kden
13	Raven	TacoGuyy
17	Llomomo	BTL | Llomomo
17	Ehis	Ehis
17	Hype2Hard	Hype2Hard
17	NAF	NAF
17	peparony	peparony
17	Shaeffen	Shaeffen
17	Shrumble	Shrumble
17	Yungsavage	Yungsavage
25	BarbNation	BarbNation
25	Blaze	BlazeK114
25	Chan	Chan
25	Kelkador	Kelkador
25	Maynnaise	Maynnaise
25	Phantom	Phantom
25	SULRoY	SOG | SULRoY
25	TacTac	TacTac
33	emtea	emtea
33	DarkIceDojo	GRU | DarkIceDojo
33	Gwishin	Gwishin
33	Haus	Haus
33	Hunna	Hunna
33	Rush	Rush
33	Ryan Rush	Ryan Rush
33	SeanVGM	SeanVGM
33	señorguava	señorguava
33	spitz	spitz
33	ssjneo	ssjneo
33	studentX	studentX
33	Phrog	ThatFrog
33	TrigDaddy	Trig Daddy
33	Levin	VIBE | Levin
33	yonuh	yonuh
49	BINGUS2	BINGUS2
49	dervid	dervid
49	Dusky	Dusky
49	Gains	Gains
49	Icy	Icy
49	inmybasement4ever	inmybasement4ever
49	TSB Jester	Jester | TSB Jester
49	kurisu	kurisu
49	Pony	Pony
49	Psyoh	Psyoh
49	Crime Sunday	Rolo
49	mitskileaks	Sabs
49	Shadawn	Shadawn
49	XX17	XX17
