Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #7 at Black Ice eSports	05 June 2022	GodIMissHer	59	110	http://start.gg/tournament/freeze-frame-7-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/B53263AF-BA64-4677-9935-1E3DD205762E
Placement	Tag	Alt
1	GodIMissHer	Bubblewrap
2	loaf	loaf
3	Lucky	Lucky
4	Stealth_Pilot	Stealth_Pilot
5	Truth	IKON | Intermediate Crip Walker
5	Candle	thirty4
7	Llomomo	BTL | Llomomo
7	Violet	Violet
9	DatDerpDog	DatDerpDog
9	Ehis	Ehis
9	Faucet	Faucet
9	Meatflap	Meatflap
13	Bubswah	Bubswah
13	Dadzie	Dadzie
13	Geyser	Geyser
13	Tosty	Tosty
17	ADDICT	<3 | ADDICT
17	AllDay	AllDay
17	Disco	Dsco
17	Skorpio	Dunga
17	Kareem	IMP | HunnerDollaB
17	Jackypoo	Jackypoo
17	Maynnaise	Maynnaise
17	Shrumble	Shrumble
25	Blaze	BlazeK114
25	Daddy Dan	FItWeBall | Daddy Dravus
25	GAY LORD	GAY LORD
25	Hype2Hard	Hype2Hard
25	Mac_McBride	Mac_McBride
25	Mime	Mime
25	Rush	Rush
25	spitz	spitz
33	BarbNation	BarbNation
33	wee	Chan
33	CmB	CmB
33	Daxe	Daxe
33	GATTI SINCLAIR	GATTI SINCLAIR
33	emtea	glasshalfemtea
33	GLLY	GLLY
33	ian (Witry)	ian
33	KittyKrisps	KittyKrisps
33	Mailiam	Mailiam
33	NAF	NAF
33	Shrub	Shrub
33	Superjack900	Superjack900
33	Zeboz	Zeboz
33	Zenon	Zenon
33	Zfump	Zfump
49	a worm	a worm
49	BHHS	BHHS
49	Bloopy	Bloopy
49	Gigs	Gigs
49	Ian	Ian
49	Luxrayrulez	Luxrayrulez
49	math	math
49	mitskileaks	mitskileaks
49	Phwii	Phwii
49	Morgan	scam
49	seepy,	seepy
