Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #17 at Black Ice	09 April 2022	loaf	39	76	http://smash.gg/tournament/freezie-friday-17-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/B5571A75-E809-4977-A658-C6DF680E7AFD
Placement	Tag	Alt
1	loaf	loaf
2	Violet	Certified Bitch
3	Stealth_Pilot	Stealth_Pilot
4	Maya	Mirai
5	The Ashen Dragoon	The Ashen Dragoon
5	Tosty	Tosty
7	ADDICT	<3 | ADDICT
7	Meatflap	Meatflap
9	DatDerpDog	DatDerpDog
9	Ehis	Ehis
9	Hype2Hard	Hype2Hard
9	sans.	sans. | sans.
13	Blaze	BlazeK114
13	Faucet	Faucet
13	Limbo	Limbo
13	Lucky	Lucky
17	Winro	AURA | Winro
17	VinnyTea	FS | VinnyTea
17	GAY LORD	GAY LORD
17	inmybasement4ever	inmybasement4ever
17	REAVER	RAGE
17	Crime Sunday	Rolo
17	ssjneo	ssjneo
17	yonuh	yonuh
25	a worm	a worm
25	Fil	DrFil
25	MN Aero	Pac | MN Aero
25	señorguava	señorguava
25	spitz	spitz
25	studentX	studentX
25	TacTac	TacTac
25	Thatone meme	Thatone meme
33	dabe	dabe
33	Flax	Flax
33	Gwishin	Gwishin
33	NAF	NAF
33	Pestilence	Pestilence
33	Rush	Rush
33	Vetta	Vetta
