Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #19 at Black Ice	30 April 2022	loaf	42	79	http://smash.gg/tournament/freezie-friday-19-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/DF25AFB2-7A73-49B6-A115-058F884CFDFE
Placement	Tag	Alt
1	loaf	loaf
2	Stealth_Pilot	Stealth_Pilot
3	Ventura	Ventura
4	Ehis	Ehis
5	DatDerpDog	DatDerpDog
5	Motionz	Motionz
7	ADDICT	<3 | ADDICT
7	Violet	Bernie Sandwiches
9	Chan	Chan
9	Faucet	Faucet
9	Natchy	Natchy
9	The Ashen Dragoon	The Ashen Dragoon
13	Hype2Hard	Hype2Hard
13	Phantom	Phantom
13	spitz	spitz
13	Yungsavage	Yungsavage
17	Flax	Flax
17	Gwishin	Gwishin
17	Bunny5001	Isaac
17	Jackypoo	Jackypoo
17	Qwuartz	Qwuartz
17	Rush	Rush
17	sans.	sans. | sans.
17	yonuh	yonuh
25	bokobo	bokobo
25	Storm	CSP | Storm
25	Fil	DrFil
25	Aurokon	G | Aurokon
25	REAVER	RAGE
25	Morgan	scam likely
25	studentX	studentX
25	TacTac	TacTac
33	BarbNation	BarbNation
33	Blaze	BlazeK114
33	CLAPP	CLAPP
33	E-Money	CSP | E-Money
33	Juggz	CSP | Juggz
33	Deez	Deez
33	Fox	Fox
33	GAY LORD	GAY LORD
33	RoboPanda	RoboPanda
33	mitskileaks	Sabs
