Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #20 at Black Ice	07 May 2022	loaf	45	88	http://smash.gg/tournament/freezie-friday-20-at-black-ice/event/ultimate-singles	https://braacket.com/tournament/C6A23013-A61C-45C8-8C08-D97E6A4A4C83
Placement	Tag	Alt
1	loaf	loaf
2	Stealth_Pilot	Stealth_Pilot
3	Ventura	Ventura
4	Maya	VENT. INT | Mirai
5	Kareem	TheCoolestPersonHere
5	Tosty	Tosty
7	Dadzie	Dadzie
7	VinnyTea	FS | VinnyTea
9	ADDICT	<3 | ADDICT
9	DatDerpDog	DatDerpDog
9	Hype2Hard	Hype2Hard
9	Phantom	Phantom
13	Flax	Flax
13	HunnerDollaB	IMP | HunnerDollaB
13	Limbo	Limbo
13	Natchy	Natchy
17	BarbNation	BarbNation
17	Violet	Ben Divorced
17	bokobo	bokobo
17	Faucet	Faucet
17	GAY LORD	GAY LORD
17	Gwishin	Gwishin
17	Kelkador	Kelkador
17	spitz	spitz
25	DoorJam	DoorJam
25	Jackypoo	Jackypoo
25	Juggz	Juggz
25	Crime Sunday	Mark RubiksCubin
25	Maynnaise	Maynnaise
25	OzMockman	OzMockman
25	Qwuartz	Qwuartz
25	Morgan	scam likely
33	CDJ	CDJ
33	Storm	CSP | Storm
33	dabe	dabe
33	Fil	DrFil
33	Gummy	Gummy
33	mitskileaks	mitskileaks
33	REAVER	RAGE
33	Rush	Rush
33	Ryoksos	Ryoksos
33	A Shape	Shape
33	Spritemare	Spritemare
33	studentX	studentX
33	ElectricMuffin	UMN | ElectricMuffin
