Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #24 at Black Ice eSports	25 June 2022	GodIMissHer	47	92	http://start.gg/tournament/freezie-friday-24-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/E8232CEF-B297-440A-A86F-A929D9ED22A0
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	loaf	loaf
3	Lucky	Lucky
4	Ehis	Ehis
5	Dadzie	Dadzie
5	Stealth_Pilot	Stealth_Pilot
7	Maynnaise	Maynnaise
7	sans.	sans. | sans.
9	Llomomo	BTL | Llomomo
9	Disco	Dsco
9	Hype2Hard	Hype2Hard
9	Camden	NC-17 | Camden
13	JustHANO	JustHANO
13	Mailiam	Mailiam
13	Uckle!	Uckle!
13	Yungsavage	Yungsavage
17	AceGriddles	AceGriddles
17	Faucet	Faucet
17	Kden	Kden
17	Legit	Legit
17	REAVER	RAGE
17	Spritemare	Spritemare
17	studentX	studentX
17	Zigglet	Zigglet
25	bokobo	bokobo
25	Wilk	CF | Wilk
25	Fil	DrFil
25	Crime Sunday	Mark RubiksCubin
25	OzMockman	OzMockman
25	Rush	Rush
25	skippychompy	skippychompy (VDC)
25	spitz	spitz
33	beanboy	beanboi
33	Blaze	BlazeK114
33	Chance Wyatt	Chance Wyatt
33	emtea	glasshalfemtea
33	Gummy	gummy
33	Honeysmoo	Honeysmoo
33	Leon	leon
33	Lupe	lupe
33	BIG PHARMA	PHDpretty
33	Phoenix	phoenix
33	Rocky	Rocky
33	seepy,	seepy
33	Segastar	Segastar
33	somedonkus	somedonkus
33	GE3SEU	Triumph | Masta Geese
