Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freezie Friday #26 at Black Ice eSports	16 July 2022	Vivian	25	49	http://start.gg/tournament/freezie-friday-26-at-black-ice-esports/event/ultimate-singles	https://braacket.com/tournament/FB35A2D1-194B-4BD0-B101-06F0C3FB78C5
Placement	Tag	Alt
1	Vivian	fem | Vivian
2	Maya	Maya
3	Drip	Drip
4	Llomomo	BTL | Llomomo
5	Legit	Legit
5	The Ashen Dragoon	The Ashen Dragoon
7	Maynnaise	Maynnaise
7	MN Aero	Pac | MN Aero
9	Jackypoo	Jackypoo
9	Kden	Kden
9	REAVER	REAVER
9	Spritemare	Spritemare
13	Pestilence	Pestilence
13	Royal	Royal
13	sans.	sans. | sans.
13	señorguava	señorguava
17	emtea	glasshalfemtea
17	Gummy	Gummy
17	Hammy	Hammy
17	Izzy	Izzy
17	PHD Juice	PHD Juice
17	Dekiller	PHD | Dekiller
17	BIG PHARMA	PhDpretty
17	TacTac	TacTac
25	Dravus	Dravus
