Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #29	11 July 2022	Meatflap	23	45	http://start.gg/tournament/inver-grove-fights-29/event/ultimate-singles	https://braacket.com/tournament/FE88FB40-02BC-472A-9EF5-421054575A41
Placement	Tag	Alt
1	Meatflap	Meatflap
2	Failbot	Rad | Failbot
3	Violet	My Neighbor Craig
4	Yungsavage	Yungsavage
5	sans.	sans. | sans.
5	skippychompy	skippychompy (VDC)
7	Mama	Mama
7	Rush	Rush
9	Blaze	BlazeK114
9	Haus	Haus
9	Jackypoo	Jackypoo
9	BIG WILL	MADVILLAIN | BIG WILL
13	a worm	a worm
13	Hunna	Hunna
13	Phoenix	Phoenix
13	Yowchie	Yowchie 2
17	Gummy	Gummy
17	Leon	Leon
17	Lupe	Lupe
17	studentX	studentX
17	vanbungle	vanbungle
17	WalMarth	WalMarth
17	Zenon	Zenon
