Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #31	01 August 2022	Meatflap	24	64	http://start.gg/tournament/inver-grove-fights-31/event/ultimate-singles	https://braacket.com/tournament/D98AA37D-A3E8-445A-B2CC-2712E02F14A4
Placement	Tag	Alt
1	Meatflap	Meatflap
2	Sean Sorey	Sean Sorey
3	Phantom	Phantom
4	The Ashen Dragoon	The Ashen Dragoon
5	AllDay	AllDay
5	Blaze	BlazeK114
7	BIG WILL	MADVILLAIN | BIG WILL
7	Natchy	Natchy
9	//JumpMan//	//JumpMan//
9	Geyser	Geyser
9	Gummy	Gummy
9	Zenon	Zenon
13	CoeZ	CoeZ
13	Jackypoo	Employed Smasher
13	IciclePop0K	IciclePop0K
13	a worm	a worm
17	HaroonChan	HaroonChan
17	MTroll	Monkey
17	vanbungle	vanbungle
17	WalMarth	WalMarth
17	Chicken Nuggets	Chicken Nuggets
17	Familiar_Nobody	Familiar_Nobody
17	Lupe	Lupe
17	Phoenix	Phoenix
