Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Med City Smash #100 - $100 Pot Bonus!	04 July 2022	Candle	48	166	http://start.gg/tournament/med-city-smash-100-100-pot-bonus/event/smash-ultimate-singles	https://braacket.com/tournament/0F138AAC-8338-49F5-A364-9831A5AE94BA
Placement	Tag	Alt
1	Candle	thirty4
2	Failbot	Rad | Failbot
3	Violet	Dick Saucer
4	Ventura	Ventura
5	Meatflap	Meatflap
5	Vomit	Vomit
7	Carrfam	Carrfam
7	Sean Sorey	Sean Sorey
9	AllDay	AllDay
9	Spooky	BIC | Spooky
9	darkdoger	darkdoger
9	MintyGuy700	MintyGuy700
13	Bubswah	Bubswah
13	Jackypoo	Jackypoo
13	Jslat	Jslat
13	Senam	Senam
17	Reptiie	BB | Reptiie
17	ZR	GCSC | ZR
17	Kaiju	Kaiju
17	Moon	Moon
17	Naustad	Naustad
17	SeanVGM	SeanVGM
17	Sugondeese	Sugondeese
17	Yuba	Yuba
25	chock	chock
25	FriedBagel	FriedBagel
25	Crime Sunday	Gus
25	Pankate	Kareem Gaming | Pankate
25	Pktired	Pktired
25	TanMan	TanMan
25	vergil4dlc	vergil4dlc
25	Zulo	Zulo
33	Clover	Clover
33	DR3ADZ	CRIT | DR3ADZ
33	juku	D'Z | juku
33	Pistolet	DN | Pistolet
33	Galaxxyss	Galaxxyss
33	Grain	Grain
33	HatGuy	HatGuy
33	Isaac (Mankato)	Isaac
33	IvUsaur	IvUsaur
33	lumenessence	lumenessence
33	BIG WILL	MADVILLAIN | BIG WILL
33	OnTheDownBeat	OnTheDownBeat
33	TacTac	TacTac
33	Travnks	Travnks
33	VoidOfRoses	VoidOfRoses
33	Xtornado	Xtornado
