Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #55	12 August 2022	Thor	23	44	http://start.gg/tournament/stop-your-friendlies-55/event/ultimate-singles	https://braacket.com/tournament/15626F75-B3B6-4824-967D-00F3F500E0F3
Placement	Tag	Alt
1	Thor	BigOninFan
2	Meatflap	Meatflap
3	Ventura	Ventura
4	Dadzie	Dadzie
5	darkdoger	darkdoger
5	Rayne!	Rayne!
7	GAY LORD	GAY LORD
7	Yungsavage	Yungsavage
9	BrokenSol	BrokenSol
9	Disco	Dsco
9	Camden	NC-17 | Camden
9	The Ashen Dragoon	The Ashen Dragoon
13	icymcspicy	icymcspicy
13	Senam	Senam
13	skippychompy	skippychompy (VDC)
13	Spritemare	Spritemare
17	Fil	DrFil
17	kogame	GH | | kogame
17	jomb	jomb
17	jshot	jshot
17	Kelkador	Kelkador
17	M0ns00n	M0ns00n
17	Maestro	Maestro
