Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #58	10 February 2023	Violet	56	109	http://start.gg/tournament/advantage-state-58/event/ultimate-singles	https://braacket.com/tournament/28A95478-049E-4105-8257-8213EBDAD2BD
Placement	Tag	Alt
1	Violet	NotCringeAssNaeNaeBaby
2	Hunter	Hunter
3	loaf	loaf
4	Vivian	22 | BIG SWIFTIE
5	Lucky	Lucky
5	Maya	Maya
7	Thor	BigOninFan
7	Neet	check ur gmail
9	Mistral	BAD | Mistral
9	Drip	Drip
9	Ehis	Ehis
9	Truth	тяцтн
13	ADDICT	<3 | ADDICT
13	Dadzie	Dadzie
13	Franzwa	Franzwa
13	Phantom	Phantom
17	awert	awert
17	BigJayhawk	BigJayhawk
17	Limbo	RNJesus
17	sans.	sans. | sans.
17	Shaeffen	Shaeffen
17	Shrumble	Shrumble
17	Spritemare	Spritemare
17	Senam	The Brave Little Joester
25	bokobo	bokobo
25	Capital G	Capital G
25	Divine	Divine
25	Eth	Eth
25	Fette	Fette
25	Abnormal	M | Abnormal
25	Motionz	Motionz
25	studentX	studentX
33	Burtn	Burtn
33	ElectricMuffin	ElectricMuffin
33	FriedBagel	FriedBagel
33	Gummy	GG | Gummy
33	Izee	Izee
33	LaFever	LaFever
33	Little McGlitch	Little Mcglitch
33	lotuskosal	lotuskosal
33	Mostache	Mostache
33	OzMockman	OzMockman
33	Pony	Pony
33	SaintCD	SaintCD
33	Blaze	tcmBlazeK
33	WhatsAKingToAGod	WhatsAKingToAGod
33	Gilgamesh	WPB | Gilgamesh
33	Bingus	WRS | Bingus
49	Bnizzlett	Bnizzlett
49	Ragnarok	CH_Rider
49	data	Data
49	data 2	Data 2
49	Greg	Greg
49	Jericho	Jericho
49	Kareem	My Back Hurts
49	Runa	Runa
