Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #41	16 January 2023	Vivian	29	57	http://start.gg/tournament/inver-grove-fights-41/event/ultimate-singles	https://braacket.com/tournament/F92E3F0A-C98B-4D3B-A7FF-C88FE1B3B9CE
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	Truth	Maelstrom
3	Violet	Sean | Jurjester Kaisen
4	Kareem	My Back Hurts
5	Aurokon	G | Degeneroar
5	Meatflap	Meatflap
7	BarbNation	BarbNation
7	Kaden	Flyte | Kaden
9	Dadzie	Dadzie
9	Franzwa	Franzwa
9	Treyara	GDN | Treyara
9	Sean Sorey	Sean Sorey
13	Natchy	Natchy
13	ChuckNDuck	RHS | ChuckNDuck
13	WhatsAKingToAGod	WhatsAKingToAGod
13	Zenon	Zenon
17	bang	bang
17	CaptainEnder401	CaptainEnder401
17	GreatDaneGamer	GreatDaneGamer
17	JStrudel	Jade
17	Rush	Rush
17	Blaze	tcmBlazeK
17	trippybutter	trippybutter
17	Tungsten'	Tungsten'
25	Clavual	Clavual
25	munch glue	IEatGlue
25	Kuch	Kuch
25	ProRoboNinja	ProRoboNinja
25	vanbungle	vanbungle
