Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #5	18 February 2023	Vivian	23	44	http://start.gg/tournament/leveling-lug-5/event/ultimate-singles	https://braacket.com/tournament/A08960E9-AF10-482E-BC7B-7C390F6C6D81
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	LazyZach	GG | LazyZach
3	loaf	loaf
4	Mistral	BAD | Mistral
5	Thor	BigOninFan
5	Truth	тяцтн
7	Treyara	GDN | Treyara
7	Lucky	Lucky
9	Flax	Flax
9	MilkTea	MilkTea
9	Limbo	RNJesus
9	Winro	Winro
13	SaintCD	SaintCD
13	Spritemare	Spritemare
13	studentX	studentX
13	Yungsavage	Yungsavage
17	Alm#0420	Alm#0420
17	Blaze	Blaze
17	Gummy	GG | Gummy
17	Poncho	Poncho
17	Runa	Runa
17	sans.	sans. | sans.
17	Young Night Train	SDC | Young Night Train
