Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #6	25 February 2023	Truth	26	50	http://start.gg/tournament/leveling-lug-6/event/ultimate-singles	https://braacket.com/tournament/C2EFB215-B48F-40EC-80E6-88DE9A93F422
Placement	Tag	Alt
1	Truth	тяцтн
2	Meatflap	Meatflap
3	Mistral	BAD | Mistral
4	Drip	Drip
5	Phantom	Phantom
5	Spritemare	Spritemare
7	BarbNation	BarbNation
7	MilkTea	MilkTea
9	ADDICT	<3 | ADDICT
9	Blaze	Blaze
9	Llomomo	BTL | Llomomo
9	Yungsavage	Yungsavage
13	Chan	Chan
13	Haus	Haus
13	Limbo	RNJesus
13	sans.	sans. | sans.
17	bokobo	bokobo
17	Gummy	GG | Gummy
17	Runa	Runa
17	Rush	Rush
17	A Shape	Shape
17	spitz	spitz
17	ssjneo	ssjneo
17	studentX	studentX
25	DIWY	DIWY
25	lotuskosal	lotuskosal
