Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #7	04 March 2023	Mistral	16	30	http://start.gg/tournament/leveling-lug-7/event/ultimate-singles	https://braacket.com/tournament/3D37FFE2-D3E9-4F30-B879-29EADCB66376
Placement	Tag	Alt
1	Mistral	BAD | Mistral
2	Thor	BigOninFan
3	Truth	Ali Baba and the 40 Hoes
4	Meatflap	Meatflap
5	awert	awert
5	Franzwa	Franzwa
7	Disco	Cringe Ass Nae Nae Baby
7	Treyara	GDN | Treyara
9	Kareem	Average Techbro
9	BarbNation	BarbNation
9	spitz	spitz
9	Yungsavage	Yungsavage
13	Gummy	GG | Gummy
13	LaFever	LaFever
13	Runa	Runa
13	TacTac	TacTac
