Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
The Comeback! Birthday Edition [$100 POT BONUS]	07 March 2023	Vivian	34	67	http://start.gg/tournament/the-comeback-birthday-edition-100-pot-bonus/event/ultimate-singles	https://braacket.com/tournament/C4BEF74E-3EAB-4C6E-8AEC-7B0CAE9A31FF
Placement	Tag	Alt
1	Vivian	22 | BIG SWIFTIE
2	Failbot	Rad | Failbot
3	Lucky	Lucky
4	Thor	BigOninFan
5	Ehis	Ehis
5	Maya	SUPERBIGMARIOFAN
7	Dadzie	Dadzie
7	Hunter	Hunter
9	Kareem	Average Techbro
9	Chan	Chan
9	Drip	Drip
9	Stealth_Pilot	Stealth_Pilot
13	Truth	Ali Baba and the 40 Hoes
13	BarbNation	BarbNation
13	Deus	deus amare
13	Sean Sorey	Sean Sorey
17	bokobo	bokobo
17	Crime Sunday	Dark Krooze
17	Faucet	Faucet
17	GAY LORD	GAY LORD
17	JStrudel	Juniper
17	ms.birb	ms.birb
17	Phrog	Phrog
17	sans.	sans. | sans.
25	Eth	Eth
25	Goomba	Goomba
25	Lacoixboi	Lacoixboi
25	Ray	Ray
25	Smoke	Smoke
25	The Football	The | Football
25	trippybutter	trippybutter
25	vanbungle	vanbungle
33	Kevin	Kevin
33	Tephers	Tephers
