Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #30	14 April 2022	loaf	56	110	http://smash.gg/tournament/advantage-state-30/event/ultimate-singles	https://braacket.com/tournament/069C7911-5E84-4B93-A038-9DF6E6E6C3C4
Placement	Tag	Alt
1	loaf	loaf
2	Lucky	Lucky
3	Aurokon	G | Aurokon
4	Dadzie	Dadzie
5	Violet	Cruel Angel Yeezus
5	Hunter	Hunter
7	Capital G	Moist | Jimbo
7	Ventura	Ventura
9	Ehis	Ehis
9	Maya	Mirai
9	sans.	sans. | sans.
9	Franzwa	Visitor
13	Bubswah	Bubswah
13	DatDerpDog	DatDerpDog
13	Meatflap	Meatflap
13	Motionz	Motionz
17	ADDICT	<3 | ADDICT
17	Cranky	Cranky
17	Flax	Flax
17	Hype2Hard	Hype2Hard
17	Limbo	Limbo
17	Phantom	Phantom
17	Crime Sunday	Rolo
17	SirPro	SirPro
25	Blaze	BlazeK114
25	DatsDavisss	DatsDavisss
25	Haus	Haus
25	Jackypoo	Jackypoo
25	Senam	Senam
25	Spritemare	Spritemare
25	Zaech	Zaech
25	Zeboz	Zeboz
33	//JumpMan//	//JumpMan//
33	14	14
33	BarbNation	BarbNation
33	bokobo	bokobo
33	Juggz	CSP | Juggz
33	Daddy Dan	Daddy Dan
33	DM	DM
33	E1ghtPack	E1ghtPack
33	GAY LORD	GAY LORD
33	Natchy	Natchy
33	Nooper	Nooper
33	Pony	Pony
33	Rush	rush
33	ssjneo	ssjneo
33	TacTac	TacTac
33	Thatone meme	Thatone meme
49	Airpog!	Airpog!
49	Storm	CSP | Storm
49	LaFever	LaFever
49	Myewps	Myewps
49	NickD	NickD
49	Octoling	Octoling
49	ElectricMuffin	UMN | ElectricMuffin
49	WalMarth	WalMarth
