Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #31	21 April 2022	loaf	46	88	http://smash.gg/tournament/advantage-state-31-4/event/ultimate-singles	https://braacket.com/tournament/4B0F419C-6D12-4012-AE8E-8B7FD5A74F05
Placement	Tag	Alt
1	loaf	loaf
2	DatDerpDog	DatDerpDog
3	Maya	Mirai
4	Tosty	Tosty
5	Violet	George R. R. Binks
5	Kareem	TheCoolestPersonHere
7	ADDICT	<3 | ADDICT
7	Ehis	Ehis
9	Disco	BLVNTSMVKER9000
9	LILSB	FV | LILSB
9	Meatflap	Meatflap
9	Franzwa	Visitor
13	AllDay	AllDay
13	Alphamew	Alphamew
13	MN Aero	Pac | MN Aero
13	sans.	sans. | sans.
17	Alterchemist	Alterchemist
17	Llomomo	BTL | Llomomo
17	Bubswah	Bubswah
17	Faucet	Faucet
17	Flow	Flow
17	Motionz	Motionz
17	Pestilence	Pestilence
17	Yungsavage	Yungsavage
25	Candyball Bill	Candyball Bill
25	GAY LORD	GAY LORD
25	Haus	Haus
25	Jackypoo	Jackypoo
25	Pony	Pony
25	Crime Sunday	Rolo
25	spitz	spitz
25	Spritemare	Spritemare
33	Approvedc	Approvedc
33	Bradyboo	Bradyboo
33	dabe	dabe
33	Hunna	Hunna
33	Kaikainakat	KaikainaKat
33	LaFever	LaFever
33	Krilp	MNVL | Krilp
33	Myewps	Myewps
33	Natchy	Natchy
33	SaintCD	SaintCD
33	same	same
33	WalMarth	WalMarth
33	wish	wish
33	Zaech	Zaech
