Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #32	28 April 2022	loaf	51	100	http://smash.gg/tournament/advantage-state-32/event/ultimate-singles	https://braacket.com/tournament/72820427-5543-443E-B9D9-F22B0CFBF1C0
Placement	Tag	Alt
1	loaf	loaf
2	Hunter	Hunter
3	Maya	Mirai
4	Kareem	TheCoolestPersonHere
5	AllDay	AllDay
5	Violet	Bernie Sandwiches
7	Motionz	Motionz
7	Sean Sorey	Sean Sorey
9	Disco	BLVNTSMVKER9000
9	DatDerpDog	DatDerpDog
9	Ehis	Ehis
9	Franzwa	Visitor
13	awert	awert
13	Flax	Flax
13	The Ashen Dragoon	The Ashen Dragoon
13	Yungsavage	Yungsavage
17	Blaze	BlazeK114
17	woahkeny	BZ| FS | woahkeny
17	Cranky	Cranky
17	Faucet	Faucet
17	Meatflap	Meatflap
17	REAVER	RAGE
17	Roll	Roll
17	Rush	rush
25	AnimeniacJD	AnimeniacJD
25	BarbNation	BarbNation
25	Bubswah	Bubswah
25	Geyser	Geyser
25	JStrudel	JStrudel
25	MN Strider	MN Strider
25	spitz	spitz
25	Zeboz	Zeboz
33	Bradyboo	Bradyboo
33	Captain GOON	Captain GOON
33	Cloudpik	Cloudpik
33	Drale	Drale
33	Haus	Haus
33	HunnerDollaB	IMP | HunnerDollaB
33	LaFever	LaFever
33	Myewps	Myewps
33	NAF	NAF
33	Pony	Pony
33	RageQuitMay28th	RageQuitMay28th
33	Razzi	Razzi
33	SaintCD	SaintCD
33	WalMarth	WalMarth
33	WhatsAKingToAGod	WhatsAKingToAGod
33	Zurvan	Zurvan
49	DM	DM
49	Krilp	MNVL | Krilp
49	mitskileaks	Sabs
