Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #33	05 May 2022	loaf	37	72	http://smash.gg/tournament/advantage-state-33/event/ultimate-singles	https://braacket.com/tournament/37BD93C6-7E0E-4825-AAA5-E33E42CAF028
Placement	Tag	Alt
1	loaf	loaf
2	Thor	Thor
3	Dadzie	Dadzie
4	Violet	Ben Divorced
5	Chan	Chan
5	Yungsavage	Yungsavage
7	Maya	Mirai
7	Franzwa	Visitor
9	AllDay	AllDay
9	Llomomo	BTL | Llomomo
9	DatDerpDog	DatDerpDog
9	Capital G	Jimbo
13	Ehis	Ehis
13	Icloudrocky	F0 | Icloudrocky
13	GAY LORD	GAY LORD
13	Shinuzi	Shinuzi
17	Faucet	Faucet
17	DarkIceDojo	GRU | DarkIceDojo
17	Haus	Haus
17	Hunter	Hunter
17	Phantom	Phantom
17	Pony	Pony
17	REAVER	RAGE
17	The Ashen Dragoon	The Ashen Dragoon
25	BarbNation	BarbNation
25	Blaze	BlazeK114
25	Flax	Flax
25	LemonLime	LemonLime
25	Matmos	Matmos
25	SaintCD	SaintCD
25	spitz	spitz
25	WalMarth	WalMarth
33	Bradyboo	Bradyboo
33	Claptain	Claptain
33	Deez	Deez
33	Rush	Eldah | Rush
33	A Shape	Shape
