Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #36	26 May 2022	Erin	48	94	http://smash.gg/tournament/advantage-state-36/event/ultimate-singles	https://braacket.com/tournament/2BAAB849-BC8B-43B6-9799-CEF9693C52E2
Placement	Tag	Alt
1	Erin	605 | Erik
2	Vomit	Vomit
3	Hunter	Hunter
4	Truth	Ali Baba and the 40 Hoes
5	Dadzie	Dadzie
5	Maya	Mirai
7	Drip	Drip
7	ian (Witry)	ian
9	Llomomo	BTL | Llomomo
9	Cranky	Cranky
9	Meatflap	Meatflap
9	Violet	Violet
13	AllDay	AllDay
13	Disco	BLVNTSMVKER9000
13	Phantom	Phantom
13	Yungsavage	Yungsavage
17	BarbNation	BarbNation
17	Chan	Chan
17	Faucet	Faucet
17	Hype2Hard	Hype2Hard
17	Capital G	Jimbo
17	Gamespeer	Quandale_Dingle
17	Rush	Rush
17	Uckle!	Uckle!
25	Blaze	BlazeK114
25	CmB	CmB
25	Haus	Haus
25	JohnnyJah	JohnnyJah
25	REAVER	RAGE
25	A Shape	Shape
25	spitz	spitz
25	Spritemare	Spritemare
33	Camping	Camping
33	Chameleon	chameleon
33	Daddy Dan	Daddy Dan
33	Rock	DK Freeze | Rock
33	grinch	grinch
33	DarkIceDojo	GRU | DarkIceDojo
33	Hunna	Hunna
33	Jaycooh	Jaycooh
33	Kingdra	KPG | Kingdra
33	mitskileaks	mitskileaks
33	Razzi	Razzi
33	SaintCD	SaintCD
33	TacTac	TacTac
33	Dab Pen	TSM | Dab Pen
33	WhatsAKingToAGod	WhatsAKingToAGod
33	Wonderllama	Wonderllama
