Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #40	23 June 2022	GodIMissHer	64	125	http://start.gg/tournament/advantage-state-40/event/ultimate-singles	https://braacket.com/tournament/9C09E01A-F2DC-4D4E-99C3-5C96EC968E1D
Placement	Tag	Alt
1	GodIMissHer	Kasmir
2	loaf	loaf
3	Ventura	Ventura
4	Violet	Anakin Skinwalker
5	Dadzie	Dadzie
5	Vivian	fem | Vivian
7	Hunter	Hunter
7	Raven	TacoGuyy
9	AllDay	AllDay
9	Ehis	Ehis
9	Capital G	Jimbo
9	Vomit	Vomit
13	ADDICT	<3 | ADDICT
13	Bubswah	Bubswah
13	Faucet	Faucet
13	Maya	Mirai
17	Blaze	BlazeK114
17	Chan	Chan
17	DatDerpDog	DatDerpDog
17	Drip	Drip
17	lumenessence	lumenessence
17	Motionz	Motionz
17	RocketX1	RocketX1
17	The Ashen Dragoon	The Ashen Dragoon
25	DeathMelon	DeathMelon
25	Disco	Dsco
25	Rush	Rush
25	sans.	sans. | sans.
25	Senam	Senam
25	SULRoY	SOG | SULRoY
25	Spritemare	Spritemare
25	Yungsavage	Yungsavage
33	darkdoger	darkdoger
33	Fette	Fette
33	Haus	Haus
33	Jiggles	Jiggles
33	MilkTea	MilkTea
33	MN Strider	MN Strider
33	Nooper	Nooper
33	MN Aero	Pac | MN Aero
33	Pignite	Pignite
33	Privé	Privé
33	REAVER	RAGE
33	Roll	Roll
33	SaintCD	SaintCD
33	TacTac	TacTac
33	trapgum	trapgum
33	Yowchie	Yowchie 2
49	BKQ	BKQ
49	D34D_M4N14C	D34D_M4N14C
49	DiabloPabloSan	DiabloPabloSan
49	FriedBagel	Fried Bagel
49	JohnnyJah	JohnnyJah
49	KamiKa2e	KamiKa2e
49	Limbo	Limbo
49	mike	mike
49	NIKANA	NIKANA
49	Pestilence	Pestilence
49	Pony	Pony
49	Scrub	Scrub
49	SeanVGM	SeanVGM
49	sink	sink
49	skippychompy	skippychompy (VDC)
49	spitz	spitz
