Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #41	30 June 2022	Failbot	65	128	http://start.gg/tournament/advantage-state-41/event/ultimate-singles	https://braacket.com/tournament/FB8836D4-E68C-4EB2-B000-DC6D7B249812
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	Vivian	fem | Vivian
3	loaf	loaf
4	Hunter	Hunter
5	GodIMissHer	Kasmir
5	Lucky	Lucky
7	Maya	Mirai
7	Ventura	Ventura
9	Truth	Abat
9	AllDay	AllDay
9	Violet	Dick Saucer
9	Vomit	Vomit
13	Kobazco	15SA | Kobazco
13	Llomomo	BTL | Llomomo
13	Shasta	Shasta
13	skippychompy	skippychompy (VDC)
17	CrystlMath	CrystlMath
17	Ehis	Ehis
17	Faucet	Faucet
17	Vandio	FSU | Vandio
17	sans.	sans. | sans.
17	Spritemare	Spritemare
17	Raven	TacoGuyy
17	trapgum	trapgum
25	Flax	Flax
25	Meatflap	Meatflap
25	MintyGuy700	MintyGuy700
25	quo	OTL | quo
25	REAVER	REAVER
25	Sean Sorey	Sean Sorey
25	Segastar	Segastar
25	Yungsavage	Yungsavage
33	Blaze	BlazeK114
33	DatDerpDog	DatDerpDog
33	Gay Plant	Gay Plant
33	Haus	Haus
33	Kaiju	Kaiju
33	lunchtime	lunchtime
33	Camden	NC-17 | Camden
33	BIG PHARMA	PhDpretty
33	RetroChris64	RetroChris64
33	Reverbo	Reverbo
33	RocketX1	RocketX1
33	Senam	Senam
33	A Shape	Shape
33	Spiker	Spiker
33	spitz	spitz
33	WEET THINS	WEET THINS
49	Chozen!	Chozen!
49	FriedBagel	FriedBagel
49	Riko	iQ | Riko
49	JKDhero	JKDhero
49	Limbo	Limbo
49	Crime Sunday	Mark RubiksCubin
49	Steven	MBS | Steven
49	Ninten	Ninten
49	Quank	Quank
49	Rox	Rox
49	SaintCD	SaintCD
49	Tapeworm	Tapeworm
49	vanbungle	vanbungle
49	ViolinGamer	Violin
49	Wagon	Wagon
49	Yowchie	Yowchie 2
65	Gains	Gains
