Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #43	14 July 2022	loaf	54	106	http://start.gg/tournament/advantage-state-43/event/ultimate-singles	https://braacket.com/tournament/B1CA61CA-1ECD-44A1-B2A0-FC9138AE4EA6
Placement	Tag	Alt
1	loaf	loaf
2	Lucky	Lucky
3	Thor	Thor
4	Maya	Mirai
5	Meatflap	Meatflap
5	Failbot	Rad | Failbot
7	Violet	My Neighbor Craig
7	Ventura	Ventura
9	Truth	Abat
9	Hunter	Hunter
9	GodIMissHer	Kasmir
9	Vomit	Vomit
13	Bubswah	Bubswah
13	Drip	Drip
13	Ehis	Ehis
13	stevenshark	stevenshark
17	Arcato	Arcato
17	Kingdra	KPG | Kingdra
17	Limbo	Limbo
17	Camden	NC-17 | Camden
17	Phantom	Phantom
17	RoboPanda	RoboPanda
17	sans.	sans. | sans.
17	Yungsavage	Yungsavage
25	Blaze	BlazeK114
25	DefectoAce	DefectoAce
25	GMT	GMT
25	Jackypoo	Jackypoo
25	REAVER	REAVER
25	SaintCD	SaintCD
25	Spritemare	Spritemare
25	WEET THINS	WEET THINS
33	BarbNation	BarbNation
33	Cranky	Cranky
33	Fette	Fette
33	FriedBagel	FriedBagel
33	Haus	Haus
33	Jaycooh	Jaycooh
33	Mailiam	Mailiam
33	NIKANA	NIKANA
33	BIG PHARMA	PhDpretty
33	Quank	Quank
33	Rock	Rock
33	Roll	Roll
33	skippychompy	skippychompy (VDC)
33	spitz	spitz
33	studentX	studentX
33	Uckle!	Uckle!
49	Divine	Divine
49	Gummy	Gummy
49	Invader_Palito	Invader_Palito
49	JKDhero	JKDhero
49	lunchtime	lunchtime
49	wish	wish
