Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #48	18 August 2022	Failbot	65	127	http://start.gg/tournament/advantage-state-48/event/ultimate-singles	https://braacket.com/tournament/93D3AE8A-B650-4F01-99CB-1417231A4EA8
Placement	Tag	Alt
1	Failbot	Rad | Failbot
2	Ventura	Kareem eSports | Ventura
3	Truth	Resident Fraud
4	Vivian	fem | Vivian
5	Thor	BigOninFan
5	Maya	Maya
7	Kareem	Kareem eSports | Kareem!
7	Violet	Tekken Chonker
9	Drip	Drip
9	Ehis	Ehis
9	Franzwa	Franzwa
9	Hunter	Hunter
13	Jace	BRAVO | Jace
13	Fette	Fette
13	Capital G	Jimbo
13	Meatflap	Meatflap
17	PinkShirtGuy	BRAVO | PinkShirtGuy
17	Chan	Chan
17	darkdoger	darkdoger
17	Disco	Dsco
17	Geyser	Geyser
17	Natchy	Natchy
17	Phantom	Phantom
17	Sanguine	Sanguine
25	Blaze	BlazeK114
25	Chozen!	Chozen!
25	Limbo	Limbo
25	lunchtime	lunchtime
25	MTroll	MTroll
25	Quank	Quank
25	Rayne!	Rayne!
25	Spritemare	Spritemare
33	Carl-Toast	Carl-Toast
33	CoeZ	CoeZ
33	D34D_M4N14C	D34D_M4N14C
33	Divine	Divine
33	Haus	Haus
33	icymcspicy	icymcspicy
33	JohnnyJah	JohnnyJah
33	BIG WILL	MADVILLAIN | BIG WILL
33	Mailiam	Mailiam
33	Maynnaise	Maynnaise
33	Roll	Roll
33	Rush	Rush
33	Senam	Senam
33	A Shape	Shape
33	Vetta	Vetta
33	WEET THINS	WEET THINS
49	Arcato	Arcato
49	CrystlMath	CoolMathGames | CrystlMath
49	Cap	Fellas | Cap
49	FriedBagel	FriedBagel
49	Gummy	Gummy
49	Hammy	Hammy
49	Camden	NC-17 | Camden
49	MN Aero	Pac | MN Aero
49	BIG PHARMA	PhDpretty
49	Physics	Physics
49	Pony	Pony
49	Stringz	Stringz
49	studentX	studentX
49	Typho	Typho
49	El Pedro	v4 | El Pedro
49	Verse	Verse
65	H3aliX	H3aliX
