Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Freeze Frame #6 Battle of the Schools BRACKET	15 May 2022	Failbot	64	124	http://smash.gg/tournament/freeze-frame-6-battle-of-the-schools-bracket/event/ultimate-singles	https://braacket.com/tournament/2A2B2230-F272-4479-9422-34299CC3E9AA
Placement	Tag	Alt
1	Failbot	Failbot
2	Lucky	Lucky
3	Violet	Violet
4	Stealth_Pilot	Stealth_Pilot
5	PinkShirtGuy	BRAVO | PinkShirtGuy
5	Ehis	Ehis
7	Drip	Drip
7	Shrumble	Shrumble
9	Disco	BLVNTSMVKER9000
9	Dadzie	Dadzie
9	DatDerpDog	DatDerpDog
9	Franzwa	Visitor
13	Llomomo	BTL | Llomomo
13	Hype2Hard	Hype2Hard
13	Kden	Kden
13	Maya	Mirai
17	Cranky	Cranky
17	Daxe	Daxe
17	Faucet	Faucet
17	Kareem	Kendrick Lamario
17	Natchy	Natchy
17	Sean Sorey	Sean Sorey
17	Shaeffen	Shaeffen
17	Uckle!	Uckle!
25	Crescent16	Aegis | Crescent16
25	bokobo	bokobo
25	Camus	Camus
25	Bunny5001	Isaac
25	REAVER	RAGE
25	Reverbo	Reverbo
25	SULRoY	SOG | SULRoY
25	Zeboz	Zeboz
33	Winro	AURA | Winro
33	BarbNation	BarbNation
33	DiscoBoat	DiscoBoat
33	Jaycooh	Jaycooh
33	Maynnaise	Maynnaise
33	ori0n	ori0n
33	OzMockman	OzMockman
33	RoboPanda	RoboPanda
33	Rush	Rush
33	Rusty	Rusty
33	spitz	spitz
33	TacTac	TacTac
33	XX17	v4 | XX17
33	WEET THINS	WEET THINS
33	yonuh	yonuh
33	Zigglet	Zigglet
49	Blaze	BlazeK114
49	BTBrawler	BTBrawler
49	Juggz	CSP | Juggz
49	Dekiller	Dekiller
49	emtea	emtea
49	Gay Plant	Gay Plant
49	grant	grant
49	Greg	Greg
49	JinWoo	JinWoo
49	JKL623	JKL623
49	PHD Juice	PHD Juice
49	Anas	Phd | Anas
49	BIG PHARMA	PHDpretty
49	ShuffleDuck	ShuffleDuck
49	El Pedro	v4 | El Pedro
49	Zulo	Zulo
